,feature_name,word,zwickau,zwickau norm.,london,london norm.,breslau,breslau norm.,zwickau / london,zwickau / breslau,london / breslau,version with higher score
3419,word_counter,lauit,1,3.72300819061802e-05,3,9.986019572598362e-05,1,0.00010094891984655764,0.3728220402084885,0.368801191362621,0.9892150988615938,london
3420,word_counter,girauit,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3421,word_counter,inuestigaui,1,3.72300819061802e-05,1,3.328673190866121e-05,2,0.0002018978396931153,1.1184661206254656,0.1844005956813105,0.16486918314359897,breslau
3422,word_counter,betulia,1,3.72300819061802e-05,2,6.657346381732241e-05,1,0.00010094891984655764,0.5592330603127328,0.368801191362621,0.6594767325743959,london
3423,word_counter,decapoleos,1,3.72300819061802e-05,2,6.657346381732241e-05,0,0.0,0.5592330603127328,0.0,0.0,london
3424,word_counter,fines,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3425,word_counter,aquiloni,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3426,word_counter,principalibus,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3427,word_counter,tepet,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3428,word_counter,iuliam,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3429,word_counter,gerasa,1,3.72300819061802e-05,2,6.657346381732241e-05,0,0.0,0.5592330603127328,0.0,0.0,london
3430,word_counter,m,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3431,word_counter,territorium,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3432,word_counter,sidoniense,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
