,before,after
6646,malitia,malitia
6647,Christianorum,cristianorum
6648,"mala,",mala
6649,"peccatores,",peccatores
6650,vita,uita
6651,indigni.,indigni
6652,Tot,tot
6653,"fraudes,",fraudes
6654,"tradiciones,",traditiones
6655,"homicida,",homicida
6656,dissensiones,dissensiones
6657,"adulteria,",adulteria
6658,fornicaciones,fornicationes
6659,"similia,",similia
6660,"peiora,",peiora
6661,committunt.,comitunt
6662,Credo,credo
6663,inveniantur,inueniantur
6664,"pluribus,",pluribus
6665,dixerim,dixerim
6666,mundo.,mundo
6667,ratio,ratio
6668,videtur:,uidetur
6669,malefactor,malefactor
6670,"fur,",fur
6671,"latro,",latro
6672,(38r),
6673,incestuosus,incestuosus
6674,terminibus,terminibus
6675,irretitus,irretitus
6676,transfretat,transfretat
6677,penitentia,penitentia
6678,timet,timet
6679,pelli,peli
6680,"sue,",sue
6681,"stare,",stare
6682,"partibus,",partibus
6683,"Teutonia,",teutonia
6684,"Francia,",frantia
6685,"Anglia,",anglia
6686,Lombardia,lombardia
6687,vadunt.,uadunt
6688,animum,animum
6689,mutant,mutant
6690,transmare,transmare
6691,currunt.,currunt
6692,Illuc,iluc
6693,"accedentes,",accedentes
6694,expenderint,expenderint
6695,"allata,",alata
6696,oportet,oportet
6697,acquirere,acquirere
6698,vomitum,uomitum
6699,"redeunt,",redeunt
6700,committentes,comitentes
6701,peiora,peiora
6702,"prioribus,",prioribus
6703,recipientes,recipientes
6704,hospicio,hospitio
6705,peregrinos,peregrinos
6706,venientes,uenientes
6707,sua.,sua
6708,cavere,cauere
6709,"nescientes,",nescientes
6710,credunt,credunt
6711,conpatriotis,conpatriotis
6712,"suas,",suas
6713,decipiuntur,decipiuntur
6714,fraudantur.,fraudantur
6715,Idem,idem
6716,itidem,itidem
6717,paternorum,paternorum
6718,criminum,criminum
6719,imitatores,imitatores
6720,malis,malis
6721,parentibus,parentibus
6722,fiant,fiant
6723,peiores,peiores
6724,nepotes,nepotes
6725,pessimi,pessimi
6726,"corrumpuntur,",corrumpuntur
6727,abhominabiles,abhominabiles
6728,efficiuntur,eficiuntur
6729,"nimis,",nimis
6730,calcantes,calcantes
6731,pollutis,polutis
6732,detestabili.,detestabili
6733,peccata,peccata
6734,inhabitancium,inhabitancium
6735,sanctificationis,sanctificationis
6736,apud,apud
6737,conceptum.,conceptum
6738,Dixit,dixit
6739,inventa,inuenta
6740,descripta,descripta
6741,meretricum,meretricum
6742,sola,sola
6743,occultas,occultas
6744,matrimonio,matrimonio
6745,"constitutas,",constitutas
6746,statum,statum
6747,novit,nouit
6748,Deus.,deus
6749,habentibus,habentibus
6750,extinguit,extinguit
6751,scintillam,scintilam
6752,corruptos,corruptos
6753,"factos,",factos
6754,"sit,",sit
6755,faciat,fatiat
6756,sensus,sensus
6757,cogitatio,cogitatio
6758,prona,prona
6759,malum.,malum
6760,paciens,paciens
6761,misericors,misericors
6762,miserationes,miserationes
6763,benedictum.Sunt,benedictumsunt
6764,"Amalechite,",amalecite
6765,Bodwini,bodwini
6766,vacantes,uacantes
6767,tantummodo,tantumodo
6768,supramodum.,supramodum
6769,certam,certam
6770,sedem,sedem
6771,ubicumque,ubicumque
6772,sciunt,sciunt
6773,pascua,pascua
6774,transferunt,transferunt
6775,familia,familia
6776,deducentes,deducentes
6777,pueris,pueris
6778,mediis,mediis
6779,campis,campis
6780,(38v),
6781,ponunt.,ponunt
6782,pugnatores,pugnatores
6783,fortissimi,fortissimi
6784,strennuissimi,strennuissimi
6785,armis,armis
6786,gladio,gladio
6787,lancea,lancea
6788,"bello,",belo
6789,turpe,turpe
6790,hominem,hominem
6791,"interficere,",interficere
6792,furari,furari
6793,vitam,uitam
6794,dispersi,dispersi
6795,declinantes,declinantes
6796,placet,placet
6797,speciale,spetiale
6798,fluenta,fluenta
6799,capris,capris
6800,"ovibus,",ouibus
6801,bubus,bubus
6802,"camelis,",camelis
6803,bibendum.,bibendum
6804,Oves,oues
6805,arietes,arietes
6806,caudas,caudas
6807,credi,credi
6808,"visum,",uisum
6809,cauda,cauda
6810,viris,uiris
6811,sufficeret,suficeret
6812,comedendum.,comedendum
6813,palmas,palmas
6814,1.5,
6815,"palmam,",palmam
6816,"duas,",duas
6817,grossa,grossa
6818,oneri,oneri
6819,arieti,arieti
6820,portandum.Nestoriani,portandumnestoriani
6821,Berichum,bericum
6822,Ythuream.,ituream
6823,Maronice,maronice
6824,ortorum,ortorum
6825,copiosa,copiosa
6826,pugnatorum.,pugnatorum
6827,Symioym,simioim
6828,"Vanini,",uanini
6829,"Karach,",karac
6830,crudelis,crudelis
6831,Illis,ilis
6832,coniunguntur,coniunguntur
6833,Assysini,assisini
6834,"Anterodum,",anterodum
6835,"Mergath,",mergat
6836,habitantes,habitantes
6837,"pugnatorum,",pugnatorum
6838,capitaneum,capitaneum
6839,eligunt,eligunt
6840,hereditaria,hereditaria
6841,successione,successione
6842,prerogativa,prerogaciua
6843,meritorum.,meritorum
6844,senex,senex
6845,etatis,etatis
6846,ingenii,ingenii
6847,maturitate.,maturitate
6848,Persyde,perside
6849,originem,originem
6850,duxisse.,duxisse
6851,Obedientes,obedientes
6852,"mortem,",mortem
6853,mandato,mandato
6854,quemlibet,quemlibet
6855,interficiunt,interficiunt
6856,paradysum,paradisum
6857,mereri,mereri
6858,(39r),
6859,obedientiam,obedientiam
6860,inpleant,inpleant
6861,occidantur.,occidantur
6862,annos,annos
6863,paucos,paucos
6864,"volebant,",uolebant
6865,promovendum,promouendum
6866,negocium,negocium
6867,"miserant,",miserant
6868,negotio,negotio
6869,votum,uotum
6870,peracto,peracto
6871,"templo,",templo
6872,conducere,conducere
6873,"debebant,",debebant
6874,sue,sue
6875,fidem,fidem
6876,incepto,incepto
6877,pedem.,pedem
6878,"discernunt,",discernunt
6879,insculptum,insculptum
6880,"crucis,",crucis
6881,Assysinorum,assisinorum
6882,cultellus.,cultelus
6883,Istos,istos
6884,nullus,nulus
6885,soldanorum,soldanorum
6886,"subiugare,",subiugare
6887,leges,leges
6888,iura,iura
6889,condunt,condunt
6890,libet,libet
6891,utuntur.,utuntur
6892,Formidabiles,formidabiles
6893,nationibus,nationibus
6894,feritatem.,feritatem
6895,aliter,aliter
6896,"senciant,",sentiant
6897,"loquantur,",loquantur
6898,Oriens,oriens
6899,confitetur,confitetur
6900,"predicat,",predicat
6901,solos,solos
6902,Turcis,turcis
6903,"Turcomannis,",turcomannis
6904,Capadocia,capadotia
6905,"habent,",habent
6906,"assero,",assero
6907,memeth,memet
6908,note,note
6909,regiones,regiones
6910,"audivi,",audiui
6911,Saraceno,saraceno
6912,poteris,poteris
6913,estimare,estimare
6914,"regione,",regione
6915,secuntur,secuntur
6916,"episcopi,",episcopi
6917,"Egipto,",egipto
6918,"parvulos,",paruulos
6919,nationes,nationes
6920,transmarine,transmarine
6921,Christiane,cristiane
6922,ut:,ut
6923,"Syri,",siri
6924,"Capadoces,",capadoces
6925,"Pardi,",pardi
6926,"Indi,",indi
6927,"Iabeni,",iabeni
6928,"Asyani,",asiani
6929,Ethiopes,etiopes
6930,quibuscumque,quibuscumque
6931,censeantur.,censeantur
6932,Quia,quia
6933,"armorum,",armorum
6934,inpungnantur,inpungnantur
6935,Tartaris,tartaris
6936,ve(39v)l,aut
6937,"quibuscumque,",quibuscumque
6938,subiciuntur,subiciuntur
6939,tributis,tributis
6940,emunt,emunt
6941,"quietem,",quietem
6942,dominantur,dominantur
6943,baiulos,baiulos
6944,presides,presides
6945,"ponunt,",ponunt
6946,contigit,contigit
6947,tale,tale
6948,"Christiani,",cristiani
6949,ipsos,ipsos
6950,aliquos,aliquos
6951,"ipsorum,",ipsorum
6952,Sicilia,sicilia
6953,"Minori,",minori
6954,Licia,litia
6955,Capodocia,capodotia
6956,dominio,dominio
6957,Tartarorum.,tartarorum
6958,Fui,fui
6959,Armenie,armenie
6960,Sicilie,sicilie
6961,menses,menses
6962,numero,numero
6963,"1500,",
6964,militandum,militandum
6965,assumpti.,assumpti
6966,utpote,utpote
6967,duces,duces
6968,capitanei,capitanei
6969,aliqui,aliqui
6970,magna.,magna
6971,confluere,confluere
6972,"missas,",missas
6973,flectere,flectere
6974,orare.,orare
6975,occurri,occurri
6976,socio,sotio
6977,vico,uico
6978,mltum,mltum
6979,"honorabant,",honorabant
6980,capillos,capilos
6981,detrahentes,detrahentes
6982,inclinantes,inclinantes
6983,transeuntibus,transeuntibus
6984,assurgentes.,assurgentes
6985,"preterea,",preterea
6986,"comedi,",comedi
6987,vigilia,uigilia
6988,"Baptiste,",baptiste
6989,"Pauli,",pauli
6990,ieiunantes,ieiunantes
6991,feriis,feriis
6992,"quartis,",quartis
6993,sabbato,sabbato
6994,lacticiniis,lacticiniis
6995,abstinentes.,abstinentes
6996,Multos,multos
6997,terret,terret
6998,transmarinis,transmarinis
6999,Georginani,georginani
7000,"similes,",similes
7001,hereticis,hereticis
7002,"dicti,",dicti
7003,dampnavit,dampnauit
7004,propterea,propterea
7005,creduntur,creduntur
7006,heretici,heretici
7007,sequi,sequi
7008,errores,errores
7009,illorum,ilorum
7010,hereticorum,hereticorum
7011,dicti.,dicti
7012,avertat,auertat
7013,Deus!,deus
7014,simplices,simplices
7015,supramodum,supramodum
7016,viventes,uiuentes
7017,habentes.,habentes
7018,"nego,",nego
7019,"stulti,",stulti
7020,Romana,romana
7021,stultis.,stultis
7022,abstinentia,abstinentia
7023,abstinencie.,abstinencie
7024,Quadragesima,quadragesima
7025,pisces,pisces
7026,comedunt,comedunt
7027,bibunt.,bibunt
7028,(40r),
7029,officio,ofitio
7030,divino,diuino
7031,devoti,deuoti
7032,audiunt,audiunt
7033,avidissime,auidissime
7034,Dominica,dominica
7035,Palmarum,palmarum
7036,vespertino,uespertino
7037,multitudinem,multitudinem
7038,vexillis,uexilis
7039,exeuntem,exeuntem
7040,episcopis,episcopis
7041,audiendum,audiendum
7042,crederent,crederent
7043,Christianos.,cristianos
7044,naciones,nationes
7045,supradicte,supradicte
7046,"esset,",esset
7047,notus,notus
7048,"Oriens,",oriens
7049,"archiepiscopos,",arciepiscopos
7050,abbates,abbates
7051,prelatos,prelatos
7052,"nos,",nos
7053,eisdem,eisdem
7054,Nestorianos,nestorianos
7055,prelatus,prelatus
7056,"Iezelich,",ieselic
7057,Pape.,pape
7058,intellexi,intelexi
7059,iurisdicio,iurisditio
7060,Oriente,oriente
7061,latius,lacius
7062,extendat,extendat
7063,occidentalis.,occidentalis
7064,Alii,alii
7065,prelati,prelati
7066,gentis,gentis
7067,Iezelicho,ieselico
7068,subditi,subditi
7069,episcopi,episcopi
7070,appellantur.,appelantur
7071,iurisdicione,iurisditione
7072,"Ethiopia,",etiopia
7073,"Partia,",partia
7074,Persida,persida
7075,regnis,regnis
7076,orientis.Armeniorum,orientisarmeniorum
7077,"Georgianorum,",georgianorum
7078,"Caldeorum,",caldeorum
7079,"Assyriorum,",assiriorum
7080,Sirie,sirie
7081,Capadocie,capadocie
7082,catolicos,catolicos
7083,septimanis,septimanis
7084,archiepiscopos,arciepiscopos
7085,episcopos,episcopos
7086,abbates.,abbates
7087,victu,uictu
7088,vestitu,uestitu
7089,conversatione,conuersatione
7090,tanti,tanti
7091,"exempli,",exempli
7092,simile,simile
7093,persona,persona
7094,seculari,seculari
7095,certissime,certissime
7096,vestes,uestes
7097,valebant,ualebant
7098,sterlingorum,sterlingorum
7099,fortissima,fortissima
7100,infinitos.,infinitos
7101,Utebatur,utebatur
7102,pelliceo,peliceo
7103,arietino,arietino
7104,rubeo,rubeo
7105,grosso,grosso
7106,sordido,sordido
7107,inmundo,inmundo
7108,manicis,manicis
7109,amplis,amplis
7110,"sordidis,",sordidis
7111,tunica,tunica
7112,coloris,coloris
7113,consumpta.,consumpta
7114,Desuper,desuper
7115,scapulare,scapulare
7116,nigrum,nigrum
7117,pallium,palium
7118,subtile,subtile
7119,vile,uile
7120,asperum,asperum
7121,cilicium.,cilicium
7122,Regem,regem
7123,Cilicie,cilicie
7124,primogegenito,primogegenito
7125,optimatibus,optimatibus
7126,audientem,audientem
7127,prelatis,prelatis
7128,archiepiscopis,arciepiscopis
7129,religiosis,religiosis
7130,Quadragesimam,quadragesimam
7131,pane,pane
7132,"abstinebat,",abstinebat
7133,universo,uniuerso
7134,virorum,uirorum
7135,mulierum,mulierum
7136,Tamen,tamen
7137,Annunciacionis,annuntiationis
7138,katholicos,katolicos
7139,dispensavit,dispensauit
7140,comederet,comederet
7141,biberet,biberet
7142,fecit.,fecit
7143,Illo,ilo
7144,interfui,interfui
7145,katholico,katolico
7146,celebravit,celebrauit
7147,regina.,regina
7148,Habent,habent
7149,officium,oficium
7150,devotum,deuotum
7151,Induuntur,induuntur
7152,"nostri,",nostri
7153,azimo,asimo
7154,conficiunt,conficiunt
7155,verbis.,uerbis
7156,Rex,rex
7157,quinque,quinque
7158,hostias,hostias
7159,presentari,presentari
7160,viderem,uiderem
7161,placerent,placerent
7162,celebrare.,celebrare
7163,Epistolas,epistolas
7164,easdem,easdem
7165,legunt,legunt
7166,evangelia,euangelia
7167,prefaciones,prefationes
7168,"easdem,",easdem
7169,Pater,pater
7170,Noster,noster
7171,cantant,cantant
7172,ydiomate,idiomate
7173,scripturam,scripturam
7174,specialem.,spetialem
7175,Catholicos,catolicos
7176,quacumque,quacumque
7177,"monachus,",monacus
7178,religiosi,religiosi
7179,maxima,maxima
7180,reverencia,reuerentia
7181,honore.,honore
7182,Clerici,clerici
7183,seculares,seculares
7184,nullius,nulius
7185,auctoritatis,auctoritatis
7186,laicos,laicos
7187,reputantur.,reputantur
7188,Nullum,nulum
7189,divina,diuina
7190,celebrant.,celebrant
7191,horas,horas
7192,Cena,cena
7193,"sequentibus,",sequentibus
7194,campanas,campanas
7195,Facto,facto
7196,signo,signo
7197,matutinos,matutinos
7198,sacerdos,sacerdos
7199,vadit,uadit
7200,vicos,uicos
7201,clamando,clamando
7202,veniant,ueniant
7203,matutinos.,matutinos
7204,dormiunt,dormiunt
7205,sedentes,sedentes
7206,docent,docent
7207,populum,populum
7208,auroram,auroram
7209,terciam,tertiam
7210,horam,horam
7211,festum.,festum
7212,Nullius,nulius
7213,permittunt,permitunt
7214,"verthapete,",uertapete
7215,Sacerdotes,sacerdotes
7216,uxorati,uxorati
7217,permittitur,permititur
7218,exequi,exequi
7219,sacerdotis,sacerdotis
7220,habeat,habeat
7221,uxorem.,uxorem
7222,lune,lune
7223,veneris,ueneris
7224,ex(41r)clusive,exclusiue
7225,"magnum,",magnum
7226,vacant,uacant
7227,amplexibus,amplexibus
7228,diebus.,diebus
7229,Tribus,tribus
7230,sollempniter,solempniter
7231,missas.Mortua,missasmortua
7232,uxore,uxore
7233,continebit,continebit
7234,ducet.,ducet
7235,fornicatus,fornicatus
7236,perdet,perdet
7237,dispensari.,dispensari
7238,adulterata,adulterata
7239,Uxor,uxor
7240,nasum,nasum
7241,commisit,comisit
7242,adulterium,adulterium
7243,"castrabitur,",castrabitur
7244,uxoratus.,uxoratus
7245,existente.,existente
7246,sacerdote,sacerdote
7247,continebit.,continebit
7248,contraxerit,contraxerit
7249,igni,igni
7250,"comburetur,",comburetur
7251,meretrix,meretrix
7252,effecta,efecta
7253,nihil,niil
7254,patietur.,patietur
7255,novum,nouum
7256,statutum,statutum
7257,apostolum,apostolum
7258,ducent,ducent
7259,Armeniorum,armeniorum
7260,Georgianorum,georgianorum
7261,discernuntur,discernuntur
7262,vulgo,uulgo
7263,lineum,lineum
7264,pannum,pannum
7265,scapulis.,scapulis
7266,Grecorum,grecorum
7267,Nestorianorum,nestorianorum
7268,almuciam,almutiam
7269,albam,albam
7270,"laneam,",laneam
7271,subponunt.Frures,subponuntfrures
7272,minora,minora
7273,furta,furta
7274,committunt,comitunt
7275,digni,digni
7276,suspendio,suspendio
7277,malefactores,malefactores
7278,crimina,crimina
7279,"castrantur,",castrantur
7280,generent,generent
7281,patrum,patrum
7282,"imitantur,",imitantur
7283,causa,causa
7284,meretrices,meretrices
7285,illis.,ilis
7286,Uxores,uxores
7287,talium,talium
7288,valentes,ualentes
7289,continere,continere
7290,efficiuntur.,eficiuntur
7291,Multi,multi
7292,eunuchi,eunuci
7293,famuli,famuli
7294,nobilium,nobilium
7295,"mulierum,",mulierum
7296,64,
7297,eunuchos,eunucos
7298,eram,eram
7299,ullus,ulus
7300,regi[s],regis
7301,licencia,licentia
7302,"speciali,",spetiali
7303,"designet,",designet
7304,ingredientem,ingredientem
7305,egredientem,egredientem
7306,deducat.,deducat
7307,Reges,reges
7308,principes,principes
7309,libentissime,libentissime
7310,curiam,curiam
7311,"adeunt,",adeunt
7312,accedunt,accedunt
7313,potentibus,potentibus
7314,curia,curia
7315,apponitur,apponitur
7316,vulgari,uulgari
7317,linguis,linguis
7318,litteris,literis
7319,propriis,propriis
7320,exponitur,exponitur
7321,monachis,monacis
7322,(41v),
7323,questionem,questionem
7324,instruuntur.,instruuntur
7325,"littere,",litere
7326,audiuntur,audiuntur
7327,"nuncii,",nuncii
7328,agitantur,agitantur
7329,cause,cause
7330,die.,die
7331,Pluries,pluries
7332,rege.,rege
7333,prandium,prandium
7334,dormicionem,dormitionem
7335,conveniunt,conueniunt
7336,stante,stante
7337,cancellis,cancelis
7338,"balistarii,",balistarii
7339,"arcarii,",arcarii
7340,"luctatores,",luctatores
7341,"saltatores,",saltatores
7342,iactatores,iactatores
7343,exercent,exercent
7344,principibus,principibus
7345,artem,artem
7346,suam.,suam
7347,solacio,solatio
7348,"avibus,",auibus
7349,"canibus,",canibus
7350,venaticis,uenaticis
7351,retibus,retibus
7352,solacia,solatia
7353,tempus,tempus
7354,cene.,cene
7355,consueta,consueta
7356,Astante,astante
7357,habui,habui
7358,collacionem,colationem
7359,sacramentis,sacramentis
7360,ministrantur,ministrantur
7361,tenentur,tenentur
7362,sentit,sentit
7363,"orientalis,",orientalis
7364,dissencionem,dissentionem
7365,videretur,uideretur
7366,periculosa,periculosa
7367,salutem.,salutem
7368,Quesivi,quesiui
7369,collatione,colatione
7370,annuente,annuente
7371,doctores,doctores
7372,sequerentur,sequerentur
7373,"expositione,",expositione
7374,mihi:,mii
7375,precipui,precipui
7376,"Crisostomus,",crisostomus
7377,"Damascenus,",damascenus
7378,Gregorius,gregorius
7379,"Nazenzenus,",nasensenus
7380,Cirillus,cirilus
7381,"Alexandrinus,",alexandrinus
7382,Kyrillum,kirilum
7383,c,c
7384,Effrem,efrem
7385,abbatem.,abbatem
7386,Multum,multum
7387,regi,regi
7388,collatio,colatio
7389,consolatus.De,consolatusde
7390,disciplina,disciplina
7391,layci,laici
7392,cantant.,cantant
7393,Numquam,numquam
7394,"sedere,",sedere
7395,"ridere,",ridere
7396,loqui,loqui
7397,"dissolvi,",dissolui
7398,nacionis.,nationis
7399,Officium,oficium
7400,Calix,calix
7401,inceptionem,inceptionem
7402,deputato,deputato
7403,apte,apte
7404,"ponitur,",ponitur
7405,offertorium,ofertorium
7406,dyaconus,diaconus
7407,panno,panno
7408,pulcro,pulcro
7409,precioso,pretioso
7410,reverenter,reuerenter
7411,levat,leuat
7412,altius,alcius
7413,capite,capite
7414,precedente,precedente
7415,subdyaconus,subdiaconus
7416,thuribulo,turibulo
7417,acolitis,acolitis
7418,cereis,cereis
7419,accensis,accensis
7420,incedentibus,incedentibus
7421,retrossum.,retrossum
7422,Girat,girat
7423,dextrum,dextrum
7424,cornu,cornu
7425,(42r),
7426,suscipit,suscipit
7427,offert,ofert
7428,sacerdotes.,sacerdotes
7429,canonem,canonem
7430,sacerdotem,sacerdotem
7431,stant,stant
7432,acoliti,acoliti
7433,thuribulis,turibulis
7434,"flectentes,",flectentes
7435,dyaconi,diaconi
7436,sacris,sacris
7437,induti,induti
7438,vestibus,uestibus
7439,complosis,complosis
7440,versis,uersis
7441,vultibus,uultibus
7442,"cherubin,",cerubin
7443,respicientes,respicientes
7444,propiciatorium,propitiatorium
7445,melodiam,melodiam
7446,quamdam,quamdam
7447,"dulcem,",dulcem
7448,"respondentes,",respondentes
7449,Canon.,canon
7450,delectabile,delectabile
7451,devotum.,deuotum
7452,perambulavi,perambulaui
7453,esset.,esset
7454,Steti,steti
7455,ultima,ultima
7456,latinam,latinam
7457,crastinum,crastinum
7458,Margarete,margarete
7459,redii,redii
7460,Aycium,aicium
7461,"maritimam,",maritimam
7462,ascensa,ascensa
7463,navi,naui
7464,processi,processi
7465,Mamistram,mamistram
7466,Mallotam,malotam
7467,"openatissimam,",openatissimam
7468,"Iudith,",iudit
7469,Adenam,adenam
7470,Tharsum,tarsum
7471,veni,ueni
7472,Kurcum,kurcum
7473,crocus,crocus
7474,bonus.,bonus
7475,Curco,curco
7476,Seleuciam,seleutiam
7477,"Capadocia,",capadotia
7478,transitaque,transitaque
7479,Capodocea,capodocea
7480,navigavi,nauigaui
7481,Cyprum,ciprum
7482,applicui,applicui
7483,Salomine.,salomine
7484,Peractis,peractis
7485,negociis,negociis
7486,Cypri,cipri
7487,Syriam.,siriam
7488,Veni,ueni
7489,Thyrum,tirum
7490,Ptholomaidem,ptolomaidem
7491,transactis,transactis
7492,ebdomadibus,ebdomadibus
7493,navigavi.,nauigaui
7494,kalendis,kalendis
7495,Septembris,septembris
7496,galea,galea
7497,navigarem,nauigarem
7498,Ptholomaide,ptolomaide
7499,"Caypham,",caipam
7500,Dothan,dotan
7501,Palestine.,palestine
7502,Antypatridem,antipatridem
7503,Ioppem,ioppem
7504,"Iamniam,",iamniam
7505,"Ascolonem,",ascolonem
7506,"Dorre,",dorre
7507,"solitudinis,",solitudinis
7508,gulfum,gulfum
7509,"Larisse,",larisse
7510,Iudee.,iudee
7511,gulfo,gulfo
7512,"Rasecasse,",rasecasse
7513,Pharamiam,paramiam
7514,pulcram,pulcram
7515,"munitam,",munitam
7516,habitat,habitat
7517,possederunt.,possederunt
7518,1284,
7519,"virginis,",uirginis
7520,intrans,intrans
7521,(42v),
7522,hostia,hostia
7523,Nili,nili
7524,fluminis.,fluminis
7525,murata,murata
7526,habitator,habitator
7527,Pharamia,paramia
7528,Taphnim,tapnim
7529,leuce;,leuce
7530,Taphnis,tapnis
7531,“fecit,fecit
7532,mirabilia,mirabilia
7533,cam[po],campo
7534,"Tha[neos],”",taneos
7535,"commorati,",comorati
7536,Yessen.,iessen
7537,"Memfis,",memfis
7538,Damiata,damiata
7539,"2,",
7540,inmediate,inmediate
7541,Bodiwini,bodiwini
7542,ubertatem,ubertatem
7543,piscibus,piscibus
7544,avibus,auibus
7545,"destructa,",destructa
7546,"inmunitum,",inmunitum
7547,naves,naues
7548,collocandas,colocandas
7549,"fructibus,",fructibus
7550,Taphnis.,tapnis
7551,separatur,separatur
7552,Damiatam,damiatam
7553,rivus,riuus
7554,alveo,alueo
7555,"Taphnis,",tapnis
7556,fretum,fretum
7557,"quoddam,",quoddam
7558,Bayera,baiera
7559,"Pharamiam,",paramiam
7560,mare.Et,mareet
7561,Sanctam.,sanctam
7562,secundu.,secundu
7563,Tertius,tercius
7564,"Allexandria,",alexandria
7565,"Pharamia,",paramia
7566,Alexandria,alexandria
7567,Nilum,nilum
7568,ascendendo.,ascendendo
7569,Thaphnim,tapnim
7570,"tantum,",tantum
7571,Babylonia,babilonia
7572,"Syemem,",siemem
7573,"Ethiopiam,",etiopiam
7574,240.,
7575,Ethiopia,etiopia
7576,Nubia,nubia
7577,"christiana,",cristiana
7578,predicavit.,predicauit
7579,Ethiopie,etiopie
7580,captivum,capciuum
7581,vidi.De,uidide
7582,Abdela,abdela
7583,(43r),
7584,"Mansoram,",mansoram
7585,dividitur,diuiditur
7586,Nylus,nilus
7587,iungitur,iungitur
7588,"Semenuch,",semenuc
7589,"tercius,",tercius
7590,<mare>,mare
7591,"Phathures,",patures
7592,navigabilis,nauigabilis
7593,"ascendendo,",ascendendo
7594,perveniatur,perueniatur
7595,Phiton,piton
7596,"Ramasses,",ramasses
7597,quartus,quartus
7598,Sturion,sturion
7599,"Inde,",inde
7600,Ramesses,ramesses
7601,"leuce,",leuce
7602,site,site
7603,Delta,delta
7604,"grece,",grece
7605,Nilus,nilus
7606,insulam,insulam
7607,delte,delte
7608,litere,litere
7609,"triangulam,",triangulam
7610,"Allexandriam,",alexandriam
7611,alter,alter
7612,"Damiatam,",damiatam
7613,habes,habes
7614,rivos.,riuos
7615,Elyopolim,eliopolim
7616,sextus,sextus
7617,"Pelbis,",pelbis
7618,Pelusium,pelusium
7619,"Larys,",laris
7620,gulfus,gulfus
7621,Leyrisse,leirisse
7622,dieta,dieta
7623,Bersabee.,bersabee
7624,"Egipti,",egipti
7625,"Iude,",iude
7626,Numerorum.,numerorum
7627,"Rinoconula,",rinoconula
7628,Syor,sior
7629,navigari.,nauigari
7630,Elyopolis,eliopolis
7631,dives,diues
7632,Alexandriam,alexandriam
7633,"Babyloniam,",babiloniam
7634,Cassia,cassia
7635,fistula,fistula
7636,"Babylonia,",babilonia
7637,Nylum,nilum
7638,littore,litore
7639,orientali.,orientali
7640,Kayrum,kairum
7641,revertitur,reuertitur
7642,principalem,principalem
7643,Kayro.,kairo
7644,triangule,triangule
7645,"alte,",alte
7646,(43v),
7647,horrea,horrea
7648,Thebe,tebe
7649,legio,legio
7650,"Thebeorum,",tebeorum
7651,"Thebaydos,",tebaidos
7652,monachorum.,monacorum
7653,Babyloniam,babiloniam
7654,Syenem,sienem
7655,260.,
7656,Syene,siene
7657,tropico,tropico
7658,absumitur,absumitur
7659,umbram,umbram
7660,gradu,gradu
7661,cancri,cancri
7662,meroe,meroe
7663,proicit,proicit
7664,Ortus,ortus
7665,sciri,sciri
7666,"ultra,",ultra
7667,"Nubie,",nubie
7668,"descendit,",descendit
7669,"immeabilis,",imeabilis
7670,Nubiani.De,nubianide
7671,inaccessibilis,inaccessibilis
7672,"accessus,",accessus
7673,naves;,naues
7674,Lybie,libie
7675,"Pylenorum,",pilenorum
7676,40;,
7677,Nubiam;,nubiam
7678,Thebaydos,tebaidos
7679,Beronice,beronice
7680,Rubri,rubri
7681,volenti,uolenti
7682,navigare.,nauigare
7683,"Sanctam,",sanctam
7684,recedentes,recedentes
7685,morati,morati
7686,fatebantur,fatebantur
7687,claustra,claustra
7688,Kayro,kairo
7689,villis,uilis
7690,intravi,intraui
7691,multus,multus
7692,"Bodiwini,",bodiwini
7693,vincunt.,uincunt
7694,timent,timent
7695,Bodiwinos.,bodiwinos
7696,Turci,turci
7697,Turkomanni,turkomanni
7698,superiores,superiores
7699,soldani,soldani
7700,gente,gente
7701,melior,melior
7702,illa.,ila
7703,(44r),
7704,Egiptus,egiptus
7705,"triangula,",triangula
7706,lateribus,lateribus
7707,"equalibus,",equalibus
7708,tertio,tertio
7709,breviore;,breuiore
7710,cornibus,cornibus
7711,trianguli,trianguli
7712,"civitates,",ciuitates
7713,"Laris,",laris
7714,Alexandria.,alexandria
7715,Volvit,uoluit
7716,gyro,giro
7717,Laris,laris
7718,950,
7719,miliaria;,miliaria
7720,Babilonia,babilonia
7721,Meroen,meroen
7722,altos,altos
7723,"inde,",inde
7724,"desertam,",desertam
7725,fluvium;,fluuium
7726,habitationis.In,habitationisin
7727,Elyopoli,eliopoli
7728,casus,casus
7729,ydolorum,idolorum
7730,templorum,templorum
7731,prophetiam,propetiam
7732,Ysa.,isa
7733,Sana,sana
7734,aer,er
7735,sanus,sanus
7736,cibi,cibi
7737,"temperata,",temperata
7738,temperatior,temperatior
7739,"Palestina,",palestina
7740,inveniri.,inueniri
7741,"Elyopolim,",eliopolim
7742,"balsami,",balsami
7743,"prius,",prius
7744,albam.,albam
7745,"Michahelis,",micahelis
7746,lignum,lignum
7747,"humile,",humile
7748,"altitudine,",altitudine
7749,"modica,",modica
7750,"ruta,",ruta
7751,albiora.,albiora
7752,mecum.,mecum
7753,Modum,modum
