,shared_word,version a name,version a count,version b name,version b count
500,antilibanus,london,2,zwickau,4
501,recedit,london,2,zwickau,2
502,inmeabilis,london,2,zwickau,1
503,iluserunt,london,2,zwickau,1
504,tironensis,london,2,zwickau,1
505,ierosolimitanus,london,2,zwickau,2
506,antiocenus,london,2,zwickau,1
507,biblii,london,2,zwickau,1
508,magistrum,london,2,zwickau,1
509,principis,london,2,zwickau,2
510,populosa,london,2,zwickau,2
511,serico,london,2,zwickau,2
512,similium,london,2,zwickau,1
513,paradisus,london,2,zwickau,1
514,leopardorum,london,2,zwickau,3
515,alios,london,2,zwickau,2
516,paruus,london,2,zwickau,1
517,aspectu,london,2,zwickau,2
518,dicentes,london,2,zwickau,2
519,sepultum,london,2,zwickau,2
520,cam,london,2,zwickau,1
521,noe,london,2,zwickau,2
522,mentionem,london,2,zwickau,1
523,casalia,london,2,zwickau,2
524,pinguibus,london,2,zwickau,1
525,tabernaculis,london,2,zwickau,1
526,gregem,london,2,zwickau,1
527,camelorum,london,2,zwickau,3
528,circumdant,london,2,zwickau,1
529,gens,london,2,zwickau,2
530,infesta,london,2,zwickau,2
531,aradum,london,2,zwickau,1
532,tuo,london,2,zwickau,1
533,uicina,london,2,zwickau,1
534,eteum,london,2,zwickau,1
535,amorreum,london,2,zwickau,2
536,eueum,london,2,zwickau,1
537,manserunt,london,2,zwickau,1
538,haberent,london,2,zwickau,1
539,magnitudinis,london,2,zwickau,2
540,latos,london,2,zwickau,1
541,staturam,london,2,zwickau,1
542,edifitio,london,2,zwickau,2
543,assisinorum,london,2,zwickau,1
544,ritu,london,2,zwickau,1
545,anterado,london,2,zwickau,2
546,predicauit,london,2,zwickau,2
547,patrem,london,2,zwickau,1
548,construxit,london,2,zwickau,2
549,simpliciter,london,2,zwickau,1
550,abiit,london,2,zwickau,1
551,conuenientes,london,2,zwickau,1
552,plenus,london,2,zwickau,1
553,meatu,london,2,zwickau,2
554,supradictis,london,2,zwickau,2
555,mateus,london,2,zwickau,3
556,passuum,london,2,zwickau,1
557,esciuo,london,2,zwickau,2
558,ursi,london,2,zwickau,2
559,pluuiarum,london,2,zwickau,1
560,teutoniam,london,2,zwickau,2
561,distet,london,2,zwickau,1
562,maronite,london,2,zwickau,6
563,obedientes,london,2,zwickau,3
564,transfixum,london,2,zwickau,1
565,cabul,london,2,zwickau,3
566,iacturam,london,2,zwickau,2
567,solus,london,2,zwickau,2
568,docuit,london,2,zwickau,1
569,oratione,london,2,zwickau,2
570,puero,london,2,zwickau,2
571,campestri,london,2,zwickau,2
572,lapidi,london,2,zwickau,2
573,impressa,london,2,zwickau,2
574,egressi,london,2,zwickau,1
575,discipuli,london,2,zwickau,1
576,transiordanem,london,2,zwickau,2
577,baldac,london,2,zwickau,1
578,generant,london,2,zwickau,2
579,sinistro,london,2,zwickau,3
580,cisterna,london,2,zwickau,3
581,alendis,london,2,zwickau,3
582,aqueductum,london,2,zwickau,4
583,gerasa,london,2,zwickau,1
584,uestitu,london,2,zwickau,1
585,certum,london,2,zwickau,2
586,damasco,london,2,zwickau,4
587,loquitur,london,2,zwickau,1
588,eiectis,london,2,zwickau,2
589,solitudine,london,2,zwickau,1
590,posteri,london,2,zwickau,2
591,rediret,london,2,zwickau,1
592,quare,london,2,zwickau,1
593,materia,london,2,zwickau,1
594,uolentes,london,2,zwickau,1
595,gesta,london,2,zwickau,2
596,oportebat,london,2,zwickau,4
597,medicabilia,london,2,zwickau,2
598,tiberiade,london,2,zwickau,2
599,decapoleos,london,2,zwickau,1
600,sedis,london,2,zwickau,3
601,legatus,london,2,zwickau,2
602,conquesta,london,2,zwickau,2
603,saltus,london,2,zwickau,3
604,angelus,london,2,zwickau,2
605,quater,london,2,zwickau,1
606,uolebant,london,2,zwickau,2
607,regalium,london,2,zwickau,2
608,ascensum,london,2,zwickau,1
609,aptus,london,2,zwickau,1
610,construendo,london,2,zwickau,1
611,colectus,london,2,zwickau,2
612,psalmo,london,2,zwickau,2
613,caipa,london,2,zwickau,2
614,continuari,london,2,zwickau,1
615,proici,london,2,zwickau,1
616,iesrel,london,2,zwickau,1
617,intermedia,london,2,zwickau,1
618,uice,london,2,zwickau,2
619,instar,london,2,zwickau,1
620,negant,london,2,zwickau,1
621,ierosolimis,london,2,zwickau,2
622,palatia,london,2,zwickau,2
623,nobilium,london,2,zwickau,2
624,altrinsecus,london,2,zwickau,2
625,morem,london,2,zwickau,1
626,olerum,london,2,zwickau,2
627,oliuis,london,2,zwickau,2
628,ceteros,london,2,zwickau,1
629,sicen,london,2,zwickau,4
630,nescientes,london,2,zwickau,1
631,sedens,london,2,zwickau,1
632,puteum,london,2,zwickau,1
633,samaritana,london,2,zwickau,2
634,edificato,london,2,zwickau,1
635,patres,london,2,zwickau,2
636,mirabilibus,london,2,zwickau,1
637,caret,london,2,zwickau,2
638,similem,london,2,zwickau,2
639,deleta,london,2,zwickau,1
640,presens,london,2,zwickau,2
641,redire,london,2,zwickau,1
642,coligere,london,2,zwickau,1
643,cibum,london,2,zwickau,2
644,uespere,london,2,zwickau,1
