,feature_name,word,zwickau,london,breslau,version with higher score
24118,count_vectorizer_5_gram,ii_ce,2,1,1,zwickau
24119,count_vectorizer_5_gram,i_ces,2,1,1,zwickau
24120,count_vectorizer_5_gram,esari,2,1,1,zwickau
24121,count_vectorizer_5_gram,saris,2,1,1,zwickau
24122,count_vectorizer_5_gram,n_mem,2,0,1,zwickau
24123,count_vectorizer_5_gram,st_ec,2,3,0,london
24124,count_vectorizer_5_gram,iam_g,2,2,0,zwickau
24125,count_vectorizer_5_gram,e_com,2,2,2,zwickau
24126,count_vectorizer_5_gram,r_bel,2,3,1,london
24127,count_vectorizer_5_gram,_<in_,2,0,0,zwickau
24128,count_vectorizer_5_gram,is_ly,2,2,1,zwickau
24129,count_vectorizer_5_gram,i_ori,2,2,3,breslau
24130,count_vectorizer_5_gram,_ior_,2,1,0,zwickau
24131,count_vectorizer_5_gram,t_dan,2,2,1,zwickau
24132,count_vectorizer_5_gram,nflue,2,1,1,zwickau
24133,count_vectorizer_5_gram,es_ef,2,2,0,zwickau
24134,count_vectorizer_5_gram,gos_c,2,1,1,zwickau
24135,count_vectorizer_5_gram,os_ci,2,3,1,london
24136,count_vectorizer_5_gram,orroz,2,0,3,breslau
24137,count_vectorizer_5_gram,rroza,2,0,3,breslau
24138,count_vectorizer_5_gram,_scit,2,6,1,london
24139,count_vectorizer_5_gram,scito,2,5,1,london
24140,count_vectorizer_5_gram,cito_,2,2,0,zwickau
24141,count_vectorizer_5_gram,co_co,2,1,1,zwickau
24142,count_vectorizer_5_gram,rum_6,2,0,0,zwickau
24143,count_vectorizer_5_gram,um_60,2,0,0,zwickau
24144,count_vectorizer_5_gram,m_600,2,0,0,zwickau
24145,count_vectorizer_5_gram,yala_,2,0,0,zwickau
24146,count_vectorizer_5_gram,r_ple,2,1,0,zwickau
24147,count_vectorizer_5_gram,fflue,2,2,0,zwickau
24148,count_vectorizer_5_gram,subte,2,4,1,london
24149,count_vectorizer_5_gram,ubter,2,4,1,london
24150,count_vectorizer_5_gram,bterr,2,1,0,zwickau
24151,count_vectorizer_5_gram,o_mea,2,2,0,zwickau
24152,count_vectorizer_5_gram,_meat,2,2,0,zwickau
24153,count_vectorizer_5_gram,meatu,2,2,0,zwickau
24154,count_vectorizer_5_gram,eatu_,2,2,0,zwickau
24155,count_vectorizer_5_gram,ad_ha,2,4,3,london
24156,count_vectorizer_5_gram,d_han,2,2,3,breslau
24157,count_vectorizer_5_gram,nc_lo,2,3,1,london
24158,count_vectorizer_5_gram,turie,2,2,0,zwickau
24159,count_vectorizer_5_gram,urien,2,2,0,zwickau
24160,count_vectorizer_5_gram,ns_da,2,0,1,zwickau
24161,count_vectorizer_5_gram,s_dan,2,2,1,zwickau
24162,count_vectorizer_5_gram,an_di,2,1,0,zwickau
24163,count_vectorizer_5_gram,ha_in,2,1,0,zwickau
24164,count_vectorizer_5_gram,hiala,2,1,0,zwickau
24165,count_vectorizer_5_gram,ecept,2,2,0,zwickau
24166,count_vectorizer_5_gram,yalam,2,0,0,zwickau
24167,count_vectorizer_5_gram,si_di,2,4,0,london
24168,count_vectorizer_5_gram,n_mat,2,1,0,zwickau
24169,count_vectorizer_5_gram,alman,2,1,0,zwickau
24170,count_vectorizer_5_gram,dan_s,2,4,1,london
24171,count_vectorizer_5_gram,ala_d,2,1,0,zwickau
24172,count_vectorizer_5_gram,uum_d,2,1,1,zwickau
24173,count_vectorizer_5_gram,rea_u,2,3,0,london
24174,count_vectorizer_5_gram,_iuli,2,2,0,zwickau
24175,count_vectorizer_5_gram,iulia,2,2,0,zwickau
24176,count_vectorizer_5_gram,iadem,2,3,3,london
24177,count_vectorizer_5_gram,b_ort,2,2,0,zwickau
24178,count_vectorizer_5_gram,rtu_u,2,1,0,zwickau
24179,count_vectorizer_5_gram,ro_io,2,1,0,zwickau
24180,count_vectorizer_5_gram,lle_n,2,2,0,zwickau
24181,count_vectorizer_5_gram,i_iob,2,2,0,zwickau
24182,count_vectorizer_5_gram,iob_i,2,1,0,zwickau
24183,count_vectorizer_5_gram,n_tra,2,2,0,zwickau
24184,count_vectorizer_5_gram,ide_r,2,1,0,zwickau
24185,count_vectorizer_5_gram,ne_io,2,4,0,london
24186,count_vectorizer_5_gram,an_co,2,0,0,zwickau
