,feature_name,word,zwickau,london,version with higher score
52050,count_vectorizer_6_gram,t_ciui,37,44,london
52051,count_vectorizer_6_gram,_et_di,37,33,zwickau
52052,count_vectorizer_6_gram,s_sunt,37,36,zwickau
52053,count_vectorizer_6_gram,lonem_,37,44,london
52054,count_vectorizer_6_gram,1_leuc,37,31,zwickau
52055,count_vectorizer_6_gram,t_in_e,37,40,london
52056,count_vectorizer_6_gram,_omnes,37,40,london
52057,count_vectorizer_6_gram,unt_in,37,43,london
52058,count_vectorizer_6_gram,sunt_i,37,47,london
52059,count_vectorizer_6_gram,n_long,37,49,london
52060,count_vectorizer_6_gram,_ualli,37,29,zwickau
52061,count_vectorizer_6_gram,ostend,36,37,london
52062,count_vectorizer_6_gram,_hodie,36,50,london
52063,count_vectorizer_6_gram,hodie_,36,50,london
52064,count_vectorizer_6_gram,a_quod,36,30,zwickau
52065,count_vectorizer_6_gram,antum_,36,49,london
52066,count_vectorizer_6_gram,_longi,36,45,london
52067,count_vectorizer_6_gram,s_et_c,36,27,zwickau
52068,count_vectorizer_6_gram,it_et_,36,40,london
52069,count_vectorizer_6_gram,_4_leu,36,34,zwickau
52070,count_vectorizer_6_gram,4_leuc,36,35,zwickau
52071,count_vectorizer_6_gram,o_quod,36,42,london
52072,count_vectorizer_6_gram,de_mon,36,30,zwickau
52073,count_vectorizer_6_gram,_maris,36,35,zwickau
52074,count_vectorizer_6_gram,maris_,36,35,zwickau
52075,count_vectorizer_6_gram,is_que,36,31,zwickau
52076,count_vectorizer_6_gram,aceni_,36,35,zwickau
52077,count_vectorizer_6_gram,em_est,36,41,london
52078,count_vectorizer_6_gram,_ualle,36,42,london
52079,count_vectorizer_6_gram,_est_t,36,28,zwickau
52080,count_vectorizer_6_gram,_ille_,36,18,zwickau
52081,count_vectorizer_6_gram,ominus,36,42,london
52082,count_vectorizer_6_gram,t_ibi_,36,40,london
52083,count_vectorizer_6_gram,rum_qu,35,31,zwickau
52084,count_vectorizer_6_gram,um_qui,35,39,london
52085,count_vectorizer_6_gram,_osten,35,36,london
52086,count_vectorizer_6_gram,ionem_,35,51,london
52087,count_vectorizer_6_gram,_tempo,35,43,london
52088,count_vectorizer_6_gram,tempor,35,43,london
52089,count_vectorizer_6_gram,longit,35,43,london
52090,count_vectorizer_6_gram,ongitu,35,43,london
52091,count_vectorizer_6_gram,ngitud,35,43,london
