original_word,variants,variants_count
scripture,"[('scriptura', 1)]",1
oculi,"[('oculis', 1)]",1
iesse,"[('esse', 1), ('iessen', 1)]",2
ecclesias,"[('ecclesia', 1), ('ecclesiam', 1)]",2
tanta,"[('tanto', 1), ('tante', 1), ('tantam', 1), ('tanti', 1)]",4
inter,"[('iter', 1)]",1
paruos,"[('paruo', 1), ('partos', 1), ('paruus', 1)]",3
ciuitati,"[('ciuitatis', 1), ('ciuitate', 1)]",2
erectus,"[('electus', 1)]",1
minore,"[('minora', 1), ('minori', 1), ('minor', 1)]",3
aradum,"[('aradium', 1)]",1
respectum,"[('respectu', 1)]",1
sara,"[('sana', 1), ('rara', 1), ('sacra', 1)]",3
ginim,"[('ginnim', 1)]",1
cristi,"[('cristo', 1)]",1
glorie,"[('gloria', 1)]",1
domino,"[('domine', 1), ('domini', 1), ('dominio', 1)]",3
holofernes,"[('holofernis', 1), ('holofernem', 1)]",2
tebes,"[('tebe', 1)]",1
augent,"[('autent', 1)]",1
carmeli,"[('carmelo', 1), ('cameli', 1)]",2
statim,"[('statum', 1)]",1
talium,"[('alium', 1), ('palium', 1)]",2
templa,"[('templi', 1), ('templo', 1)]",2
uigilias,"[('uigilia', 1)]",1
lineamenta,"[('liniamenta', 1)]",1
multa,"[('multi', 1), ('multas', 1), ('multo', 1), ('multe', 1)]",4
transit,"[('transito', 1)]",1
audiente,"[('audientem', 1)]",1
aser,"[('asor', 1), ('ager', 1), ('ader', 1), ('asser', 1)]",4
botrus,"[('botros', 1), ('botrum', 1)]",2
fonti,"[('fonte', 1), ('forti', 1), ('fontis', 1), ('monti', 1)]",4
huius,"[('humus', 1), ('cuius', 1)]",2
nidus,"[('nilus', 1)]",1
loquitur,"[('coquitur', 1)]",1
insignia,"[('insignis', 1)]",1
magi,"[('magis', 1), ('mali', 1), ('magni', 1), ('mari', 1)]",4
galee,"[('galea', 1)]",1
quolibet,"[('quilibet', 1), ('qualibet', 1)]",2
replet,"[('repleta', 1)]",1
uenientes,"[('uendentes', 1), ('uenientem', 1)]",2
maturi,"[('matri', 1)]",1
acab,"[('acar', 1)]",1
casus,"[('casu', 1)]",1
nobilissimo,"[('nobilissime', 1)]",1
ueneram,"[('uenerat', 1)]",1
feci,"[('fecit', 1)]",1
constructas,"[('constructa', 1)]",1
ortus,"[('ortum', 1), ('ortu', 1), ('portus', 1), ('ortos', 1), ('ortis', 1)]",5
ipsos,"[('ipsas', 1), ('ipsis', 1), ('ipso', 1)]",3
uera,"[('ubera', 1), ('uersa', 1), ('era', 1), ('uero', 1), ('ueri', 1), ('uere', 1), ('cera', 1), ('uerba', 1)]",8
plana,"[('planam', 1), ('plena', 1), ('lana', 1), ('plano', 1), ('plane', 1)]",5
numquam,"[('umquam', 1), ('nusquam', 1), ('nunquam', 1)]",3
ioppem,"[('ioppen', 1), ('ioppe', 1)]",2
atrio,"[('atria', 1)]",1
fundo,"[('funda', 1), ('mundo', 1), ('eundo', 1)]",3
ordinis,"[('ordines', 1)]",1
sinum,"[('situm', 1), ('sinam', 1), ('sineum', 1), ('sinu', 1), ('signum', 1), ('sinus', 1), ('uinum', 1), ('asinum', 1)]",8
uile,"[('ile', 1), ('uite', 1), ('uale', 1), ('mile', 1), ('uila', 1), ('uie', 1), ('uice', 1)]",7
patent,"[('patet', 1), ('pateant', 1), ('pateat', 1)]",3
ilis,"[('ilic', 1), ('uilis', 1), ('ilas', 1), ('ili', 1), ('ilius', 1)]",5
regem,"[('rege', 1), ('gregem', 1), ('regum', 1), ('reges', 1), ('legem', 1)]",5
antilibano,"[('antilibani', 1)]",1
petram,"[('petra', 1), ('petrum', 1)]",2
altaris,"[('altaria', 1), ('altari', 1)]",2
piscem,"[('pisces', 1)]",1
precedit,"[('precepit', 1), ('recedit', 1), ('procedit', 1), ('precelit', 1)]",4
partus,"[('portus', 1), ('partis', 1), ('partes', 1), ('partos', 1), ('paruus', 1)]",5
silo,"[('ilo', 1), ('siloe', 1)]",2
maior,"[('maiore', 1), ('maiori', 1), ('maiora', 1)]",3
sufitiat,"[('sufitiant', 1)]",1
istam,"[('istas', 1), ('ista', 1), ('istum', 1)]",3
babilonia,"[('babilonis', 1), ('babiloniam', 1)]",2
causa,"[('causam', 1), ('causas', 1), ('cause', 1), ('cauda', 1), ('clausa', 1)]",5
oppositio,"[('oppositi', 1)]",1
finem,"[('fine', 1), ('fidem', 1), ('fines', 1)]",3
turris,"[('turrim', 1), ('terris', 1), ('turri', 1), ('turbis', 1), ('turres', 1), ('turcis', 1)]",6
idumea,"[('idumei', 1), ('idumee', 1), ('idumeam', 1)]",3
amplius,"[('amplis', 1)]",1
australi,"[('australis', 1), ('australe', 1)]",2
depositis,"[('depositus', 1)]",1
egipti,"[('egippi', 1), ('egiptii', 1), ('egipto', 1)]",3
decorat,"[('decorati', 1)]",1
colum,"[('corum', 1), ('colem', 1), ('solum', 1), ('celum', 1)]",4
fluuius,"[('fluuios', 1), ('fluuium', 1)]",2
detestabili,"[('detestabilis', 1)]",1
camelus,"[('carmelus', 1), ('camelis', 1)]",2
benedicta,"[('benedicto', 1)]",1
cristiana,"[('cristiane', 1), ('cristiani', 1)]",2
secus,"[('sectus', 1), ('secum', 1)]",2
