original_word,variants,variants_count
exempla,"[('exempli', 1)]",1
facili,"[('facile', 1)]",1
possit,"[('posuit', 1), ('posset', 1), ('possim', 1)]",3
ministrante,"[('ministrantes', 1)]",1
akcon,"[('akon', 1), ('accon', 1), ('acon', 1)]",3
iludi,"[('ilud', 1)]",1
krak,"[('krac', 1)]",1
excelsa,"[('excelsi', 1)]",1
euersionis,"[('euersioni', 1)]",1
palestina,"[('palestinam', 1), ('palestine', 1)]",2
timet,"[('timent', 1)]",1
edificate,"[('edificato', 1), ('edificata', 1)]",2
petra,"[('petram', 1), ('petri', 1), ('petre', 1)]",3
uehementia,"[('uehementi', 1)]",1
manibus,"[('canibus', 1), ('panibus', 1)]",2
scripture,"[('scriptura', 1)]",1
iesse,"[('esse', 1), ('iessen', 1)]",2
ecclesias,"[('ecclesiis', 1), ('ecclesia', 1), ('ecclesiam', 1)]",3
tanta,"[('tante', 1), ('tantam', 1), ('tanti', 1)]",3
inter,"[('iter', 1)]",1
paruos,"[('paruo', 1), ('partos', 1), ('paruus', 1)]",3
manassen,"[('manasse', 1)]",1
ciuitati,"[('ciuitatis', 1), ('ciuitate', 1)]",2
quinque,"[('quisque', 1)]",1
minore,"[('minora', 1), ('minere', 1), ('minor', 1)]",3
aradum,"[('aradium', 1)]",1
cristi,"[('cristo', 1)]",1
ualania,"[('ualanie', 1), ('ualaniam', 1)]",2
domino,"[('domine', 1), ('domini', 1), ('dominio', 1), ('domina', 1)]",4
holofernes,"[('holofernis', 1), ('holofernem', 1)]",2
tebes,"[('tebe', 1)]",1
carmeli,"[('carmali', 1), ('carmelo', 1), ('cameli', 1)]",3
statim,"[('statum', 1)]",1
templa,"[('templi', 1), ('templo', 1)]",2
lineamenta,"[('liniamenta', 1)]",1
multa,"[('multam', 1), ('multi', 1), ('multas', 1), ('multo', 1), ('multe', 1)]",5
transit,"[('transito', 1)]",1
botrus,"[('botros', 1), ('botris', 1), ('botrum', 1)]",3
pingwis,"[('pinguis', 1)]",1
huius,"[('humus', 1), ('cuius', 1)]",2
nidus,"[('nilus', 1)]",1
loquitur,"[('coquitur', 1)]",1
magi,"[('magis', 1), ('mali', 1), ('magni', 1), ('mari', 1)]",4
galee,"[('galea', 1)]",1
replet,"[('repleta', 1)]",1
uenientes,"[('uenientem', 1)]",1
maturi,"[('matri', 1)]",1
acab,"[('acas', 1)]",1
lacuit,"[('latuit', 1), ('lauit', 1), ('placuit', 1)]",3
accoliti,"[('accolitis', 1)]",1
casus,"[('casum', 1)]",1
nobilissimo,"[('nobilissime', 1), ('nobilissima', 1)]",2
dissensiones,"[('dissensionem', 1)]",1
constructas,"[('constructa', 1)]",1
eidi,"[('uidi', 1)]",1
ortus,"[('ortum', 1), ('mortus', 1), ('ortu', 1), ('portus', 1), ('ortos', 1), ('ortis', 1)]",6
ipsos,"[('ipsas', 1), ('ipsis', 1), ('ipso', 1)]",3
uera,"[('uersa', 1), ('era', 1), ('fera', 1), ('uero', 1), ('ueri', 1), ('uere', 1), ('uerba', 1)]",7
numquam,"[('umquam', 1), ('nusquam', 1), ('nunquam', 1)]",3
plana,"[('planam', 1), ('plena', 1), ('plaga', 1), ('lana', 1), ('plano', 1), ('plane', 1)]",6
ioppem,"[('ioppen', 1), ('ioppes', 1), ('ioppe', 1)]",3
atrio,"[('atria', 1)]",1
fundo,"[('funda', 1), ('mundo', 1), ('eundo', 1)]",3
sinum,"[('situm', 1), ('sineum', 1), ('signum', 1), ('sinus', 1), ('uinum', 1)]",5
impleant,"[('inpleant', 1)]",1
uile,"[('ile', 1), ('uite', 1), ('uale', 1), ('uila', 1), ('uie', 1), ('uice', 1)]",6
ilis,"[('ilic', 1), ('uilis', 1), ('ilas', 1), ('ili', 1), ('ilius', 1)]",5
regem,"[('rege', 1), ('gregem', 1), ('regum', 1), ('reges', 1), ('legem', 1)]",5
antilibano,"[('antilibani', 1)]",1
iosep,"[('ioser', 1), ('iosepi', 1)]",2
petram,"[('petra', 1), ('petrum', 1)]",2
altaris,"[('altari', 1)]",1
piscem,"[('pisces', 1)]",1
pretea,"[('preter', 1)]",1
aroca,"[('arca', 1)]",1
silo,"[('ilo', 1), ('siloe', 1)]",2
septentrionalis,"[('septentrionali', 1)]",1
maior,"[('maiore', 1), ('maiori', 1), ('maiora', 1)]",3
sufitiat,"[('sufitiant', 1)]",1
istam,"[('istas', 1), ('ista', 1), ('istum', 1)]",3
babilonia,"[('babilona', 1), ('babilonis', 1), ('babiloniam', 1)]",3
causa,"[('causam', 1), ('cause', 1), ('cauda', 1), ('clausa', 1)]",4
finem,"[('fine', 1), ('fidem', 1), ('fines', 1)]",3
turris,"[('turrim', 1), ('terris', 1), ('turres', 1), ('turcis', 1)]",4
idumea,"[('idumee', 1), ('idumeam', 1)]",2
amplius,"[('amplis', 1)]",1
australi,"[('australis', 1), ('australe', 1)]",2
karum,"[('parum', 1), ('rarum', 1), ('earum', 1)]",3
egipti,"[('egipto', 1)]",1
colum,"[('solum', 1), ('celum', 1)]",2
fluuius,"[('fluuium', 1)]",1
detestabili,"[('detestabilis', 1)]",1
camelus,"[('carmelus', 1), ('camelis', 1), ('camelos', 1)]",3
nulam,"[('nudam', 1), ('nula', 1), ('nulum', 1)]",3
cristiana,"[('cristiane', 1), ('cristiani', 1)]",2
translatum,"[('translatus', 1)]",1
secus,"[('sectus', 1), ('secum', 1)]",2
cene,"[('bene', 1), ('cena', 1), ('cede', 1), ('cepe', 1)]",4
iesum,"[('iesu', 1), ('ipsum', 1), ('iesus', 1)]",3
luce,"[('leuce', 1), ('lucie', 1), ('lune', 1)]",3
contingit,"[('contigit', 1)]",1
magnos,"[('magnus', 1), ('magnas', 1), ('magno', 1), ('magos', 1), ('magnis', 1)]",5
auibus,"[('ouibus', 1), ('nauibus', 1), ('quibus', 1)]",3
generis,"[('ueneris', 1), ('genesis', 1)]",2
sanguinem,"[('sanguine', 1), ('sanguineo', 1)]",2
caparnaum,"[('caparnum', 1)]",1
heresibus,"[('heredibus', 1)]",1
poterunt,"[('poterant', 1)]",1
tartari,"[('tartaris', 1)]",1
dulces,"[('dulcem', 1), ('dulcis', 1), ('duces', 1)]",3
spatia,"[('spatio', 1)]",1
serpentis,"[('serpentes', 1)]",1
abbatem,"[('abbates', 1)]",1
uenit,"[('ueni', 1), ('ueniat', 1)]",2
ueteres,"[('ueteris', 1), ('ueterem', 1)]",2
finis,"[('finit', 1), ('fines', 1)]",2
careat,"[('caret', 1)]",1
geneba,"[('genera', 1)]",1
pedes,"[('pede', 1), ('cedes', 1), ('sedes', 1), ('pedem', 1)]",4
latinos,"[('latinis', 1)]",1
occidit,"[('accidit', 1)]",1
spelunca,"[('spelunce', 1), ('speluncam', 1)]",2
