original_word,variants,variants_count
terram,"[('terra', 1)]",1
armena,"[('arena', 1), ('armenia', 1), ('amena', 1)]",3
essent,"[('esset', 1)]",1
maxime,"[('maxima', 1)]",1
ionas,"[('ioas', 1), ('bonas', 1)]",2
parum,"[('panum', 1), ('rarum', 1)]",2
conditus,"[('consitus', 1)]",1
ilum,"[('ilud', 1), ('ilam', 1), ('iluc', 1)]",3
sancto,"[('sancte', 1), ('sancti', 1), ('sancta', 1)]",3
prime,"[('prima', 1), ('primo', 1)]",2
uidet,"[('uidit', 1), ('uideo', 1), ('uideat', 1)]",3
betsam,"[('betsan', 1)]",1
uerbum,"[('uerum', 1)]",1
sequentis,"[('sequenti', 1)]",1
suas,"[('suam', 1), ('suis', 1), ('suos', 1), ('sua', 1), ('quas', 1), ('duas', 1)]",6
sidonem,"[('sidone', 1), ('simonem', 1)]",2
marmoree,"[('marmore', 1)]",1
nobiles,"[('nobilis', 1)]",1
herode,"[('herodes', 1)]",1
regnum,"[('regum', 1), ('regium', 1)]",2
tabulas,"[('tabulis', 1), ('tabulam', 1), ('tabula', 1), ('fabulas', 1)]",4
toto,"[('tot', 1), ('tota', 1)]",2
ueneratur,"[('uenerantur', 1)]",1
locis,"[('locus', 1), ('lacis', 1)]",2
ramata,"[('ramatam', 1)]",1
nocte,"[('noctem', 1)]",1
passionem,"[('passione', 1)]",1
omnes,"[('omnem', 1), ('omne', 1), ('omnis', 1)]",3
omnem,"[('omnes', 1), ('omne', 1)]",2
leucam,"[('leucas', 1), ('leuca', 1)]",2
apec,"[('afec', 1)]",1
lapis,"[('lacis', 1)]",1
piscinas,"[('piscinan', 1), ('piscinam', 1), ('piscina', 1)]",3
tante,"[('tanta', 1), ('ante', 1), ('tate', 1)]",3
nobilis,"[('nobiles', 1)]",1
eram,"[('aram', 1), ('erat', 1), ('eam', 1)]",3
sequenti,"[('sequentis', 1)]",1
locum,"[('locus', 1)]",1
tarsus,"[('tarsis', 1)]",1
siria,"[('siris', 1), ('sirie', 1), ('siri', 1)]",3
aconensi,"[('acconensi', 1)]",1
sancte,"[('sancto', 1), ('sancti', 1), ('sancta', 1)]",3
fere,"[('uere', 1), ('ere', 1)]",2
iordanem,"[('iordane', 1)]",1
eandem,"[('easdem', 1), ('eadem', 1), ('tandem', 1)]",3
ramatam,"[('ramata', 1)]",1
quot,"[('quos', 1), ('quo', 1), ('quod', 1)]",3
esecielem,"[('eseciele', 1)]",1
orbe,"[('orbem', 1), ('urbe', 1)]",2
camelis,"[('camelos', 1)]",1
