,feature_name,p_#,cross/inner,mean,std,min,25%,50%,75%,max,# of 0 similarities,p_length,most_similar_p_#,most_similar_score,most_similar_p_length,most_similar_dropped,most_similar_dropped_p_#,most_similar_dropperd_score,most_similar_dropped_p_length,version,inner_mean_is_low,cross_inner_mean_diff
2726,5_gram,150,cross,0.035703334246599425,0.02637278975977002,0.0,0.020015159328969266,0.03206721533699104,0.04617846687263259,0.3270682017142658,3,476,145,0.3270682017142658,613,False,,,,zwickau,,
2727,5_gram,151,cross,0.03993972092673559,0.02449288356966448,0.0,0.026766490131878085,0.0367466133431347,0.04933109198679354,0.31311689775063617,1,893,146,0.31311689775063617,441,False,,,,zwickau,,
3049,count_vectorizer_5_gram,151,cross,0.09364760367014338,0.043608055159698324,0.0,0.06423026444546752,0.08973418700917113,0.1169383907223172,0.4171314629919041,1,893,146,0.4171314629919041,441,False,,,,zwickau,,
1423,count_vectorizer_5_gram,151,inner,0.122530364235042,0.044101050002690836,0.009659018410596833,0.09096830695713079,0.11722780551323377,0.148551525229087,0.2824034456464127,0,1484,212,0.2824034456464127,144,,,,,london,False,-0.007742441602341679
1105,5_gram,151,inner,0.05273039792602902,0.025323119960839316,0.002899697827948102,0.03555391821101983,0.04759208541119124,0.0652594661915116,0.18375967080825553,0,1484,122,0.18375967080825553,266,,,,,london,False,-0.0026555909957406768
1439,count_vectorizer_5_gram,151,inner,0.08777341575456016,0.042262826617330565,0.0,0.056799848049249736,0.08633791219138036,0.11092894503541446,0.2529804608772866,1,893,283,0.2529804608772866,1603,,,,,zwickau,True,0.005874187915583223
2695,5_gram,151,cross,0.050074806930288346,0.022886845568195976,0.0009501724880921389,0.033583925142575057,0.04771627409713487,0.06273281634021156,0.15236917161161528,0,1484,156,0.15236917161161528,114,True,155.0,0.6632173654396198,1044.0,london,,
1117,5_gram,151,inner,0.03808574108537016,0.02022599202787068,0.0,0.02284785109966422,0.036884995376704616,0.050652480246158496,0.1246897074417307,1,893,283,0.1246897074417307,1603,,,,,zwickau,True,0.0018539798413654274
3013,count_vectorizer_5_gram,151,cross,0.11478792263270032,0.04200755594484932,0.0038321771482919442,0.08176175660060651,0.11127349944311779,0.14406837176192036,0.24610454225054254,0,1484,201,0.24610454225054254,537,True,155.0,0.7100620268025379,1044.0,london,,
1440,count_vectorizer_5_gram,152,inner,0.11718490068883482,0.05275333906123684,0.0058639680900612985,0.07726699720433149,0.11055295912134706,0.14589761818944424,0.2813601356211101,0,1518,111,0.2813601356211101,208,,,,,zwickau,True,0.007359482079388552
3050,count_vectorizer_5_gram,152,cross,0.12454438276822337,0.054585801617025,0.03133102117480899,0.08573899683116289,0.11704442595102744,0.15631937499898807,0.4926108618326149,0,1518,149,0.4926108618326149,370,True,147.0,0.7283165451268451,1142.0,zwickau,,
1106,5_gram,152,inner,0.025572161197355003,0.017709524163308295,0.0,0.012388485136132863,0.021791720420842802,0.03399772835379099,0.11568160733004411,2,187,59,0.11568160733004411,709,,,,,london,True,0.0016580871821325859
2696,5_gram,152,cross,0.02723024837948759,0.03592253978859891,0.0,0.012945063215837025,0.020995943472393908,0.034998641598850744,0.5694920493606271,4,187,157,0.5694920493606271,178,False,,,,london,,
1118,5_gram,152,inner,0.055337370019165645,0.030055694215368623,0.0015254558683314298,0.03346074065150266,0.052425841559692515,0.07094865104274466,0.17504218152369352,0,1518,111,0.17504218152369352,208,,,,,zwickau,True,0.0036838214214867937
1424,count_vectorizer_5_gram,152,inner,0.07339106259074696,0.041876849273471906,0.0,0.04124560983181619,0.06606968251928338,0.10121377992449715,0.20266279420522296,2,187,59,0.20266279420522296,709,,,,,london,False,-0.004334495104930475
2728,5_gram,152,cross,0.05902119144065244,0.0344007425975,0.011525506972373931,0.03905496647005025,0.05364094435754488,0.07408927795815971,0.39408502891854014,0,1518,149,0.39408502891854014,370,True,147.0,0.6595416819316269,1142.0,zwickau,,
3014,count_vectorizer_5_gram,152,cross,0.06905656748581648,0.03908699843224865,0.0,0.03712882661284275,0.06445033866354896,0.09509329651839316,0.20919054414739635,4,187,225,0.20919054414739635,34,True,157.0,0.6701863901713084,178.0,london,,
3015,count_vectorizer_5_gram,153,cross,0.10318647723207747,0.045295376029411305,0.010845565971444619,0.07443308618755576,0.09694872185180452,0.12645732523516667,0.3059829289552502,0,542,149,0.3059829289552502,359,False,,,,london,,
2729,5_gram,153,cross,0.03335047894790798,0.023824018824218966,0.0025258133792268665,0.01955834011622838,0.03083873106106971,0.040993089522656734,0.3167169302002347,0,379,148,0.3167169302002347,1044,False,,,,zwickau,,
2697,5_gram,153,cross,0.04356777877789422,0.027039635258714313,0.00480425317000395,0.026241907389335677,0.038669487867870805,0.05253690644759059,0.20969143666888845,0,542,158,0.20969143666888845,104,False,,,,london,,
1425,count_vectorizer_5_gram,153,inner,0.11020971885576981,0.05017395375275892,0.0,0.07555715372752354,0.10314383569463526,0.13842398396877972,0.3245548138383813,1,542,144,0.3245548138383813,319,,,,,london,False,-0.007023241623692347
1107,5_gram,153,inner,0.04546807411635368,0.028373430216755417,0.0,0.027327506888916768,0.04010555226015733,0.05542239102195868,0.19751078085163284,1,542,144,0.19751078085163284,319,,,,,london,False,-0.0019002953384594581
3051,count_vectorizer_5_gram,153,cross,0.07795394109104452,0.037801775664863015,0.01743502914492306,0.05431302050004618,0.07219069752460662,0.09698006854959194,0.4053418186841524,0,379,148,0.4053418186841524,1044,False,,,,zwickau,,
1119,5_gram,153,inner,0.03080879818308981,0.01836457877829067,0.0,0.016981385888775794,0.027592140934194754,0.041381796967740005,0.0980888979169034,2,379,87,0.0980888979169034,1222,,,,,zwickau,True,0.002541680764818168
1441,count_vectorizer_5_gram,153,inner,0.07267270467501455,0.0361077371705473,0.0,0.045947680064476935,0.06830206918361081,0.0942756356370665,0.19133499717854038,2,379,87,0.19133499717854038,1222,,,,,zwickau,True,0.005281236416029969
1120,5_gram,154,inner,0.02465860062902914,0.019276535893522417,0.0,0.010757674758112222,0.020819609299698654,0.032470733482522655,0.14943097026126365,3,170,71,0.14943097026126365,226,,,,,zwickau,True,0.00011357732207629284
2730,5_gram,154,cross,0.024772177951105433,0.01734492749123881,0.0,0.01307736481379395,0.020675725293439026,0.032330713238119785,0.11948256501037932,4,170,138,0.11948256501037932,290,True,150.0,0.753055206082998,218.0,zwickau,,
1442,count_vectorizer_5_gram,154,inner,0.062142625397816884,0.03678402764039334,0.0,0.03571681675753429,0.05633814220979645,0.08356560369759829,0.1838453995889742,3,170,71,0.1838453995889742,226,,,,,zwickau,True,0.002551831988903089
1426,count_vectorizer_5_gram,154,inner,0.08034378672005088,0.03818199762267343,0.00684081586246062,0.05088115599229098,0.07642693491197179,0.09943668387636137,0.3223304304007351,0,985,295,0.3223304304007351,1528,,,,,london,False,-0.00435063535246584
3016,count_vectorizer_5_gram,154,cross,0.07599315136758504,0.04797658359873253,0.0,0.04805202874727063,0.0701229759795422,0.09664942566735585,0.5527320201363042,2,985,164,0.5527320201363042,741,False,,,,london,,
2698,5_gram,154,cross,0.03799241765877995,0.03458332095199525,0.0,0.021079179718101547,0.03288404446132509,0.04653287987023082,0.48157827088130195,2,985,164,0.48157827088130195,741,False,,,,london,,
1108,5_gram,154,inner,0.038604418589411,0.023897380862955807,0.0020787865066995803,0.02187464702986149,0.034572910584512104,0.048569186983167374,0.2654639940078254,0,985,295,0.2654639940078254,1528,,,,,london,False,-0.0006120009306310528
3052,count_vectorizer_5_gram,154,cross,0.06469445738671997,0.03683615331910947,0.0,0.037463378368471245,0.061455391069082786,0.0859041213929178,0.19262173916895725,4,170,161,0.19262173916895725,559,True,150.0,0.789920104308632,218.0,zwickau,,
1121,5_gram,155,inner,0.04056050128807004,0.021330445500899926,0.0,0.025395289401910125,0.037843414365055825,0.05010476173379658,0.17024477777380811,1,1044,156,0.17024477777380811,114,,,,,zwickau,True,0.002520099792114351
1427,count_vectorizer_5_gram,155,inner,0.07505620440677571,0.038505836696433544,0.0,0.04569257394864611,0.07032659742571859,0.09800787046186746,0.23222338755036936,1,432,293,0.23222338755036936,740,,,,,london,False,-0.004813404487697931
1109,5_gram,155,inner,0.03245912642013356,0.020539733916207174,0.0,0.01821003112571488,0.02813507732350346,0.04270845721898629,0.14486461037260237,1,432,153,0.14486461037260237,542,,,,,london,False,-0.0012239887079620593
1443,count_vectorizer_5_gram,155,inner,0.08498364218994349,0.03501190920432348,0.0,0.060310767849853224,0.08290834525296381,0.10564471808033332,0.21605507737618035,1,1044,167,0.21605507737618035,563,,,,,zwickau,True,0.005423966089835169
3053,count_vectorizer_5_gram,155,cross,0.09040760827977866,0.03580832091843517,0.020531684177529364,0.06518804026431814,0.0875228422297366,0.11241432258284735,0.2241514000686619,0,1044,122,0.2241514000686619,266,True,151.0,0.7100620268025383,1484.0,zwickau,,
2699,5_gram,155,cross,0.0312351377121715,0.02407387711077531,0.0,0.016236128762599097,0.025273352221579445,0.041285919313883236,0.2594978791151576,4,432,160,0.2594978791151576,569,False,,,,london,,
3017,count_vectorizer_5_gram,155,cross,0.07024279991907778,0.04367093757580688,0.0,0.0389532838226984,0.06177024996031706,0.0936984438330928,0.35481922792813797,4,432,160,0.35481922792813797,569,False,,,,london,,
2731,5_gram,155,cross,0.04308060108018439,0.02213604807873175,0.004977479900533757,0.028232907309143216,0.04040809913124013,0.0535091425492206,0.176841347224453,0,1044,122,0.176841347224453,266,True,151.0,0.6595986780325769,1484.0,zwickau,,
2732,5_gram,156,cross,0.01704931123249147,0.019368919122070432,0.0,0.006502048550709833,0.012310079941021358,0.020370899560597424,0.16266438498146707,5,114,152,0.16266438498146707,187,False,,,,zwickau,,
1110,5_gram,156,inner,0.034022505306727256,0.018900271669371697,0.0,0.021118451160970168,0.030916053136063777,0.04341376939000936,0.1301390143098378,3,365,261,0.1301390143098378,386,,,,,london,False,-0.0006386801133583045
1122,5_gram,156,inner,0.017717413327419065,0.021307908595716022,0.0,0.005452451852205041,0.011531561383083002,0.022585792576475017,0.17024477777380811,8,114,155,0.17024477777380811,1044,,,,,zwickau,False,-0.0006681020949275938
3054,count_vectorizer_5_gram,156,cross,0.043877194076447655,0.02961605830577723,0.0,0.02388423363621149,0.038576807118822665,0.05604994522992842,0.20514820359684818,5,114,151,0.20514820359684818,1484,False,,,,zwickau,,
2700,5_gram,156,cross,0.03338382519336895,0.01872260876941854,0.0018362679669586088,0.020980698776317162,0.030382811041840117,0.0415291604769909,0.12898005100566903,0,365,255,0.12898005100566903,405,True,161.0,0.6464222420557219,377.0,london,,
3018,count_vectorizer_5_gram,156,cross,0.08027627008754712,0.036392021819453724,0.00911731975607399,0.05525284934497299,0.07635520929469089,0.09992459155518468,0.24756319435952812,0,365,255,0.24756319435952812,405,True,161.0,0.7385275981372535,377.0,london,,
1444,count_vectorizer_5_gram,156,inner,0.04215546046719047,0.030721246765094114,0.0,0.02166566239621653,0.0366530859801704,0.05523681766661075,0.20447564080825215,8,114,155,0.20447564080825215,1044,,,,,zwickau,True,0.0017217336092571825
1428,count_vectorizer_5_gram,156,inner,0.08368071082381846,0.03849579413817491,0.0,0.056565883960851736,0.07911993959801397,0.10690675601868192,0.253542373394819,3,365,261,0.253542373394819,386,,,,,london,False,-0.003404440736271344
1111,5_gram,157,inner,0.03793105680956574,0.02051772868842468,0.0,0.023916214522220685,0.03375105042999757,0.04739272713032392,0.12265785622339012,1,366,70,0.12265785622339012,310,,,,,london,False,-0.003163829186610942
1123,5_gram,157,inner,0.019130233321157906,0.016937933653368802,0.0,0.007783966883481142,0.014217719939739915,0.02676519556250474,0.12392630311837691,4,178,156,0.12392630311837691,114,,,,,zwickau,True,0.0020356716545695958
3055,count_vectorizer_5_gram,157,cross,0.0605460599233849,0.041764508801040566,0.0,0.026479752365129092,0.05258923088181719,0.09073900346318423,0.22486562621626993,4,178,59,0.22486562621626993,709,True,152.0,0.6701863901713085,187.0,zwickau,,
1429,count_vectorizer_5_gram,157,inner,0.10588457685892037,0.04955155785151625,0.0,0.07022901597250257,0.09966402717176176,0.1340662772044814,0.257146605662973,1,366,91,0.257146605662973,245,,,,,london,False,-0.009383728038714498
1445,count_vectorizer_5_gram,157,inner,0.057329318299867205,0.038968880566719266,0.0,0.02528149732822302,0.05108824354122674,0.08025457108509507,0.1986798535597566,4,178,225,0.1986798535597566,34,,,,,zwickau,True,0.003216741623517698
2733,5_gram,157,cross,0.0211659049757275,0.03503798660032669,0.0,0.007820575284641054,0.014967679500733194,0.026475327833466816,0.5666145101994154,4,178,152,0.5666145101994154,187,False,,,,zwickau,,
2701,5_gram,157,cross,0.0347672276229548,0.022380028892947896,0.0,0.021752301844214436,0.0323743166883461,0.044011808950916685,0.29161867969325517,2,366,162,0.29161867969325517,176,False,,,,london,,
3019,count_vectorizer_5_gram,157,cross,0.09650084882020588,0.046633095050270724,0.0,0.06329896902559293,0.090526245298899,0.12348674702965991,0.4104128253475917,2,366,162,0.4104128253475917,176,False,,,,london,,
1446,count_vectorizer_5_gram,158,inner,0.03290954350664903,0.023858432518428865,0.0,0.01676651516092856,0.026624951421988424,0.04270814217589821,0.13639299407595387,9,104,201,0.13639299407595387,537,,,,,zwickau,True,0.0012821494798863284
1112,5_gram,158,inner,0.04319205728864907,0.023677408062290364,0.0,0.02688455503416538,0.03690880489404026,0.05553929233497394,0.12454746521972294,1,760,192,0.12454746521972294,1549,,,,,london,False,-0.00353121036553615
2702,5_gram,158,cross,0.03966084692311292,0.025550317981758254,0.0,0.02480827622200516,0.03524936462647219,0.0488192793990286,0.3215432465377092,1,760,163,0.3215432465377092,528,False,,,,london,,
1124,5_gram,158,inner,0.013357028727179934,0.01462640530790974,0.0,0.004171973533829771,0.008471800578064192,0.01655842780052163,0.08697179044790619,9,104,165,0.08697179044790619,210,,,,,zwickau,True,0.00026152411844268704
3056,count_vectorizer_5_gram,158,cross,0.034191692986535356,0.02576294690363831,0.0,0.01645002945037848,0.02779943075328499,0.046879792427997544,0.2255129204751637,6,104,153,0.2255129204751637,542,False,,,,zwickau,,
2734,5_gram,158,cross,0.013618552845622621,0.017416346505501005,0.0,0.0040155868818291,0.008849025280003073,0.017148300663129723,0.20913234964415336,6,104,153,0.20913234964415336,542,False,,,,zwickau,,
3020,count_vectorizer_5_gram,158,cross,0.0823059295937734,0.037738144868975684,0.0,0.05814696162469999,0.07920614915947752,0.10180628291373617,0.40624841929404554,1,760,163,0.40624841929404554,528,False,,,,london,,
1430,count_vectorizer_5_gram,158,inner,0.0905752387212248,0.03862548678368128,0.0,0.06566668890676765,0.08425965239594703,0.11217239604047204,0.23222553212623737,1,760,225,0.23222553212623737,551,,,,,london,False,-0.008269309127451399
3021,count_vectorizer_5_gram,159,cross,0.06283260719328133,0.033381508753388064,0.0,0.03917161175841197,0.06070112186147872,0.08538730806378772,0.20026122292912485,5,423,169,0.20026122292912485,1511,False,,,,london,,
1125,5_gram,159,inner,0.02386139021763906,0.017028864080928952,0.0,0.012256964185142083,0.019784787336903167,0.031891259830924674,0.12564328378677153,4,259,219,0.12564328378677153,354,,,,,zwickau,True,0.0005099823157898448
2735,5_gram,159,cross,0.024371372533428904,0.017509719611646157,0.0,0.012417096849626197,0.020627886216821434,0.030230486846584054,0.12651280396116268,3,259,155,0.12651280396116268,432,False,,,,zwickau,,
3057,count_vectorizer_5_gram,159,cross,0.05782602563478353,0.028106629212207968,0.0,0.03808837068878804,0.05452340160599613,0.07701363025312732,0.14670223150624084,3,259,146,0.14670223150624084,441,False,,,,zwickau,,
1431,count_vectorizer_5_gram,159,inner,0.06779015228771146,0.03528613352518499,0.0,0.04087719671771632,0.06459282777834095,0.08873964381631542,0.2004003910653484,1,423,160,0.2004003910653484,980,,,,,london,False,-0.004957545094430124
2703,5_gram,159,cross,0.028012704252986947,0.016906194497178912,0.0,0.015670620483098207,0.026085831615077666,0.03865978128383931,0.10946676798437391,5,423,165,0.10946676798437391,210,False,,,,london,,
1447,count_vectorizer_5_gram,159,inner,0.05644566899368778,0.0276485806454005,0.0,0.03827974534903993,0.05351148122768904,0.07259635734411003,0.14963053008018432,4,259,219,0.14963053008018432,354,,,,,zwickau,True,0.0013803566410957452
1113,5_gram,159,inner,0.02989404245288351,0.017505271858955986,0.0,0.016417707102156308,0.02777665848859922,0.040347750193480136,0.10296457420626266,1,423,160,0.10296457420626266,980,,,,,london,False,-0.0018813381998965643
2736,5_gram,160,cross,0.04345764813558773,0.0272714353068099,0.0,0.02691615462741578,0.03950954057523593,0.054941832620984954,0.2648253785660932,1,569,155,0.2648253785660932,432,False,,,,zwickau,,
1126,5_gram,160,inner,0.04073288212202615,0.025197370909159217,0.0,0.022706512128574267,0.03789641695588681,0.05269121640770279,0.14657116413664242,2,569,223,0.14657116413664242,410,,,,,zwickau,True,0.002724766013561579
2704,5_gram,160,cross,0.045482189733231475,0.02457377227611218,0.0008307824587755346,0.02971713621018932,0.043129048449888956,0.05780179814621239,0.17672860228133064,0,980,165,0.17672860228133064,210,False,,,,london,,
1432,count_vectorizer_5_gram,160,inner,0.101860816322528,0.042333101289977325,0.007110641999784903,0.07157413993300393,0.09941703439352587,0.12873834262039732,0.2230172578354422,0,980,205,0.2230172578354422,1214,,,,,london,False,-0.006052523192810938
3022,count_vectorizer_5_gram,160,cross,0.09580829312971706,0.0439452937149942,0.003728048750550864,0.06483532441906228,0.09399651808337758,0.12573182278754416,0.23120994015793994,0,980,169,0.23120994015793994,1511,False,,,,london,,
3058,count_vectorizer_5_gram,160,cross,0.09334227420763123,0.045518110884999505,0.0,0.06072456714688562,0.09063767578100118,0.12114407708580507,0.3548192279281379,1,569,155,0.3548192279281379,432,False,,,,zwickau,,
1114,5_gram,160,inner,0.04731086386725001,0.02270167682632662,0.0024074241369149464,0.03120970985890149,0.044976964651623826,0.059728164583571663,0.12841360374970645,0,980,205,0.12841360374970645,1214,,,,,london,False,-0.0018286741340185347
1448,count_vectorizer_5_gram,160,inner,0.08632089878437285,0.04511277334438973,0.0,0.04963831638870788,0.08389022425203597,0.11482989409434691,0.2525641094726743,2,569,281,0.2525641094726743,1334,,,,,zwickau,True,0.007021375423258383
1127,5_gram,161,inner,0.034480702801871814,0.01989853742328701,0.0,0.021287409744619897,0.029662592477914123,0.043128127127001786,0.11595906814801589,1,377,201,0.11595906814801589,537,,,,,zwickau,True,0.0010941804785352671
3023,count_vectorizer_5_gram,161,cross,0.11171833073918702,0.050841280599297545,0.01294498653030192,0.07284368878052684,0.1069195972244001,0.14281581495960577,0.24553435074669558,0,559,221,0.24553435074669558,267,True,167.0,0.75375142371227,563.0,london,,
1433,count_vectorizer_5_gram,161,inner,0.11802567098594316,0.050754765854882054,0.008020329675654254,0.0798896123294527,0.11226037067433105,0.151781830813144,0.2962367241356679,0,559,164,0.2962367241356679,789,,,,,london,False,-0.006307340246756138
2705,5_gram,161,cross,0.046267508342241796,0.023770157752533008,0.0017825829629165176,0.028340891322891144,0.04285909019172157,0.061919571487272784,0.13791847704022303,0,559,211,0.13791847704022303,586,True,167.0,0.6572124241520817,563.0,london,,
1115,5_gram,161,inner,0.0475858797137596,0.02237530040344532,0.0024023248653665093,0.029916083453570493,0.04451883741232509,0.06459519658299448,0.129952255974682,0,559,164,0.129952255974682,789,,,,,london,False,-0.0013183713715178014
