,feature_name,p_#,cross/inner,mean,std,min,25%,50%,75%,max,# of 0 similarities,p_length,most_similar_p_#,most_similar_score,most_similar_p_length,most_similar_dropped,version
392,5_gram,70,cross,0.05847224547006704,0.04142314486198558,0.006780765949125923,0.035269412822053314,0.05053292447047006,0.07323664498048268,0.42135701798200764,0,915,53,0.42135701798200764,529,False,zwickau
71,5_gram,71,inner,0.03454514219367236,0.029052684569190183,0.0,0.015470920261132334,0.02665995480063093,0.04535443621966503,0.17846087910444974,5,226,57,0.17846087910444974,30,,zwickau
393,5_gram,71,cross,0.03460771370868,0.025903216191215814,0.0,0.01653108581714778,0.027885823819483627,0.04614990725206333,0.17981130652404398,2,226,242,0.17981130652404398,222,False,zwickau
394,5_gram,72,cross,0.04169799294569207,0.02527269228351345,0.0,0.026305173823591634,0.037527756520820355,0.052635380859349115,0.2977263230466291,1,492,67,0.2977263230466291,530,False,zwickau
72,5_gram,72,inner,0.040314621521988676,0.022913769488062535,0.0,0.02375530523572626,0.03781802798810813,0.052783186605725604,0.1605814361274006,2,492,70,0.1605814361274006,915,,zwickau
73,5_gram,73,inner,0.04424596141204411,0.023833912191267164,0.005774204940584141,0.027397413463974493,0.03993236024853894,0.05652231552011941,0.15756936374428993,0,618,63,0.15756936374428993,695,,zwickau
395,5_gram,73,cross,0.045904731612864874,0.022051431701215738,0.000876116904238146,0.02912063486166171,0.043498015793146154,0.05665942562528696,0.1263595405499841,0,618,134,0.1263595405499841,402,True,zwickau
74,5_gram,74,inner,0.04880094014474547,0.024072077132941766,0.0025638194949809223,0.03238036381374715,0.04481007013392011,0.06027692137542242,0.2069327921998595,0,1019,77,0.2069327921998595,941,,zwickau
396,5_gram,74,cross,0.049744765544168276,0.036253353164929,0.00490119334967373,0.03317926713173553,0.04401887271472166,0.06013908036760854,0.5636488733142498,0,1019,74,0.5636488733142498,1014,False,zwickau
397,5_gram,75,cross,0.0302509822532328,0.02624656908270623,0.0,0.012650594926259045,0.023649986323883227,0.03948348913584877,0.2095398578061843,4,198,75,0.2095398578061843,434,False,zwickau
75,5_gram,75,inner,0.028506415754637738,0.02456428894806323,0.0,0.011653671805256909,0.022194758148975566,0.0410194397382711,0.16950919336383868,4,198,247,0.16950919336383868,174,,zwickau
76,5_gram,76,inner,0.03856904807773957,0.02575735832504764,0.000822129993470621,0.019440171648149415,0.030853355061355107,0.052332038718155095,0.14999796099931983,0,327,84,0.14999796099931983,213,,zwickau
398,5_gram,76,cross,0.04112654784444235,0.03520289726988211,0.0,0.020730674831608842,0.03244458042154358,0.0534800998899164,0.4762466857402742,1,327,76,0.4762466857402742,388,False,zwickau
77,5_gram,77,inner,0.04891655273982167,0.022691586113720335,0.0048648164035970725,0.034549171843096645,0.04731887260017554,0.060081463602624265,0.2069327921998595,0,941,74,0.2069327921998595,1019,,zwickau
399,5_gram,77,cross,0.0520631639020303,0.03499006453685344,0.008737767913064349,0.035687501260214596,0.04725745264062181,0.06179604434705585,0.42921682541643774,0,941,77,0.42921682541643774,262,False,zwickau
78,5_gram,78,inner,0.03770102943934583,0.02424580050295498,0.0,0.024973353293183734,0.0343916039043895,0.04544827126150696,0.27543020550357794,1,638,66,0.27543020550357794,387,,zwickau
400,5_gram,78,cross,0.040339809737308475,0.03245397352146003,0.0042504296693235705,0.025846690679319745,0.035422576254347554,0.046386709693432907,0.4642987954761093,0,638,65,0.4642987954761093,381,False,zwickau
79,5_gram,79,inner,0.022981886366252494,0.016963725780886053,0.0,0.010037192219743845,0.01977897623064892,0.030724109333304512,0.08539100519139016,9,154,140,0.08539100519139016,469,,zwickau
401,5_gram,79,cross,0.022432467613630082,0.026065629151744586,0.0,0.008840631178285738,0.018141445600071783,0.03025401233400324,0.3951034382917986,6,154,66,0.3951034382917986,271,False,zwickau
402,5_gram,80,cross,0.04142914494361286,0.019128515090472607,0.0,0.026682797300397305,0.038436762146701366,0.053653801301076345,0.11570790421656942,1,570,51,0.11570790421656942,1391,True,zwickau
80,5_gram,80,inner,0.04032921439455937,0.021525324436569595,0.0017205586601053238,0.025444202511385114,0.03688753281855191,0.052644458555094434,0.12617310584734068,0,570,71,0.12617310584734068,226,,zwickau
81,5_gram,81,inner,0.03306714545540806,0.01972757281592295,0.0024600408117048146,0.018254592660377572,0.02988648946858009,0.04287199905643326,0.12026430591192717,0,293,84,0.12026430591192717,213,,zwickau
403,5_gram,81,cross,0.0329519770358889,0.017440964670372892,0.0,0.019684510175059726,0.03059481887822657,0.04296663863656611,0.10755717994112862,2,293,69,0.10755717994112862,621,True,zwickau
404,5_gram,82,cross,0.04928649290130619,0.027849139655613638,0.004258468474217056,0.03060594550752951,0.04382699172227984,0.06222016882227839,0.20370931832848466,0,1120,67,0.20370931832848466,530,True,zwickau
82,5_gram,82,inner,0.050236894396225515,0.03586913943200359,0.0015844178225538738,0.027473387014077272,0.04146894833518566,0.06459679372810805,0.362205974660813,0,1120,70,0.362205974660813,915,,zwickau
405,5_gram,83,cross,0.018087631090368535,0.01919687711815842,0.0,0.0058797915459782015,0.011996168470472829,0.022774371717430377,0.14796717963364103,6,167,149,0.14796717963364103,370,False,zwickau
83,5_gram,83,inner,0.01749528394021386,0.0208104871668065,0.0,0.0051643002670404645,0.011170370067542465,0.023006168471424594,0.15724808729935438,8,167,111,0.15724808729935438,208,,zwickau
84,5_gram,84,inner,0.03900099098335583,0.026722228858738196,0.0,0.01917247756188685,0.03353577348536477,0.050815659038985536,0.15978579112327987,2,213,69,0.15978579112327987,289,,zwickau
406,5_gram,84,cross,0.04085762001493439,0.03661850648544466,0.0,0.018577332958744905,0.03366002248480904,0.05338455804911103,0.4775051158466137,2,213,67,0.4775051158466137,530,False,zwickau
85,5_gram,85,inner,0.03444003510508771,0.02099290076471803,0.0,0.01976437212002714,0.032243449630332086,0.04434733784508711,0.14179848320187527,1,376,87,0.14179848320187527,1222,,zwickau
407,5_gram,85,cross,0.03580685553012135,0.023563684318423296,0.0018178529775008006,0.02316111665386801,0.03327142942182736,0.04236927293987623,0.31531844890725674,0,376,79,0.31531844890725674,672,False,zwickau
408,5_gram,86,cross,0.05212547121445294,0.023180550828454206,0.00500865270393069,0.03633505137376621,0.0488279454947745,0.0628517238349591,0.17263007848365705,0,1997,230,0.17263007848365705,651,True,zwickau
86,5_gram,86,inner,0.05022903739747278,0.024807925065274426,0.006315994395239459,0.032515710999366246,0.04576454761592945,0.06337048386063619,0.15214355166369017,0,1997,223,0.15214355166369017,410,,zwickau
87,5_gram,87,inner,0.05960844031124148,0.037431280192856374,0.0014670239952476387,0.03547848491921943,0.05064469016398618,0.07490658317162413,0.21504463973777813,0,1222,70,0.21504463973777813,915,,zwickau
409,5_gram,87,cross,0.06338870124342487,0.04218884546580768,0.009360344625971406,0.039520374557237434,0.053989139014928585,0.07832568951449449,0.5066379374282319,0,1222,82,0.5066379374282319,661,False,zwickau
410,5_gram,88,cross,0.05821104112017037,0.02360214748616229,0.010543840750528945,0.040819445926618216,0.05580418839377259,0.07420188667327585,0.12641181112516411,0,1343,266,0.12641181112516411,858,True,zwickau
88,5_gram,88,inner,0.05568927332755291,0.02494079292216148,0.0069161426046948585,0.03715403921724263,0.05429386493749547,0.07318453773730182,0.132254251998019,0,1343,274,0.132254251998019,853,,zwickau
411,5_gram,89,cross,0.03826690204141607,0.029858017607576285,0.0,0.024059877680310322,0.03339669199342513,0.046054976300660105,0.44234195207589366,1,475,85,0.44234195207589366,588,False,zwickau
89,5_gram,89,inner,0.036603136677354785,0.020449232361315576,0.0,0.022436473343495637,0.033299619031265305,0.044200267379248086,0.17240951283188002,2,475,109,0.17240951283188002,847,,zwickau
90,5_gram,90,inner,0.03329244041547379,0.0202462281733371,0.0,0.01899492518307774,0.029034936748303736,0.04326356245693283,0.11513976177525607,2,345,89,0.11513976177525607,475,,zwickau
412,5_gram,90,cross,0.035529433157641316,0.02872403176736577,0.0,0.019634906118666015,0.030142654911770532,0.04547304852769685,0.40087146765708387,2,345,84,0.40087146765708387,264,False,zwickau
