,importance,feature
610,0.0,_cam_
611,0.0,_came
612,0.0,_cami
613,0.0,_camo
614,0.0,_camp
615,0.0,_can
616,0.0,_cana
617,0.0,_canc
618,0.0,_cand
619,0.0,_cani
620,0.0,_cann
621,0.0,_cano
622,0.0,_cant
623,4.986976975869298e-05,_cap
624,0.0,_capa
625,0.0,_capc
626,4.824670739334103e-05,_cape
627,0.0,_capi
628,0.0,_capo
629,0.0,_capr
630,0.0,_capt
631,0.0,_capu
632,0.00017256289020825788,_car
633,0.0,_carc
634,0.0,_care
635,0.0,_cari
636,0.0,_carm
637,0.0,_carn
638,0.0,_caro
639,0.0,_cas
640,0.0,_casa
641,0.0,_cass
642,0.00014504566173363602,_cast
643,0.0,_casu
644,0.0,_cat
645,0.0,_cata
646,0.0,_cau
647,0.0,_cauc
648,0.0,_caud
649,0.0,_caue
650,0.0,_caus
651,0.0,_caut
652,0.0003156857074148534,_ce
653,0.0,_ce_
654,0.0,_ce_d
655,0.0,_cec
656,0.0,_ceci
657,0.00012339033298277606,_ced
658,0.0,_ceda
659,0.0,_cede
660,7.543895264014124e-05,_cedr
661,8.364177116380581e-05,_cel
662,0.0,_cela
663,0.0,_cele
664,0.0,_celi
665,0.0,_celo
666,5.187823862116586e-05,_celu
667,0.0,_cen
668,0.0,_cena
669,0.0,_cene
670,0.0,_cens
671,0.0,_cent
672,0.0,_cep
673,0.0,_cepe
674,0.0,_cepi
675,0.0,_cept
676,4.282671996539123e-05,_cer
677,0.0,_cera
678,0.0,_cere
679,0.0,_cern
680,0.0,_cert
681,0.0,_ceru
682,0.0,_ces
683,0.0,_cesa
684,0.0,_cesi
685,0.0,_cesp
686,0.0,_cess
687,0.0,_cesu
688,0.0,_cet
689,2.508422173738695e-05,_cete
690,6.151602469504488e-05,_ceu
691,0.0,_ceue
692,7.83142256975697e-05,_ci
693,0.0,_cib
694,0.0,_ciba
695,0.0,_cibi
696,0.0,_cibo
697,0.0,_cibu
698,0.0,_cic
699,0.0,_cice
700,0.0,_cil
701,0.0,_cila
702,0.0,_cili
703,0.0,_cim
704,0.0,_cimi
705,0.0,_cin
706,3.685610245240415e-05,_cinc
707,0.0,_cine
708,0.0,_cing
709,0.0,_cip
710,0.0001050342396854723,_cipr
711,0.0002092941340762327,_cir
712,0.00020457455991697776,_circ
713,0.0,_cire
714,0.0,_ciri
715,3.8695989932511115e-05,_cis
716,0.0,_cis_
717,0.00013480213188697072,_ciso
718,8.031432950867701e-05,_cist
719,0.0,_cit
720,0.0,_cito
721,0.0,_citr
722,0.00047808586748784615,_ciu
723,0.00029890608176567023,_ciui
724,0.0,_cl
725,2.2668646333885464e-05,_cla
726,0.0,_clam
727,0.0,_clar
728,0.0,_clau
729,0.0,_cle
730,0.0,_clem
731,0.0,_cleo
732,0.0,_cler
733,0.0,_cli
734,0.0,_clib
735,0.0,_clip
736,0.0003399003094685657,_co
737,0.0,_coc
738,0.0,_coco
739,0.0,_cod
740,0.0,_codo
741,0.0,_cog
742,0.0,_cogi
743,0.0,_cogn
744,0.0,_coh
745,0.0,_cohi
746,0.0,_col
747,0.0,_cola
748,0.0003192033842848349,_cole
749,0.0,_coli
750,0.0,_colo
751,4.52068154452926e-05,_colu
752,6.970628553594992e-05,_com
753,0.0,_comb
754,0.0,_come
755,0.0,_comi
756,0.0,_como
757,0.0,_comp
758,0.0,_comu
759,0.0005660436221652874,_con
760,0.0,_conb
761,0.0,_conc
762,0.0,_cond
763,0.0,_conf
764,0.0,_cong
765,0.0,_coni
766,0.0,_conp
767,0.0,_conq
768,0.00042301679742462434,_cons
769,0.0005525518510128343,_cont
770,0.0,_conu
771,0.0,_coo
772,0.0,_coop
773,0.0,_cop
774,0.0,_copi
775,0.0,_copu
776,0.0,_coq
777,0.0,_coqu
778,0.0,_cor
779,0.0,_cora
780,0.0,_cord
781,0.0,_cori
782,0.0,_corn
783,0.0,_coro
784,0.0,_corp
785,0.0,_corr
786,0.0,_coru
787,0.0,_cos
788,0.0,_cosd
789,0.0,_cosm
790,0.0,_cot
791,0.0,_coti
792,0.00020462714124945314,_cr
793,0.0,_cra
794,0.0,_cras
795,0.0001786676851799386,_cre
796,0.0,_crea
797,2.289774864697696e-05,_cred
798,0.0,_crep
799,5.687751679238499e-05,_cres
800,0.0,_cret
801,0.0,_creu
802,0.0001140193162646681,_cri
803,0.0,_crim
804,0.0,_crip
805,0.00018164762939175614,_cris
806,0.0,_cro
807,0.0,_croc
808,0.0,_cron
809,0.0,_cru
810,0.0,_cruc
811,0.0,_crud
812,0.0,_crur
813,0.0,_crux
814,0.0005216895341605137,_cu
815,0.0,_cub
816,0.0,_cubi
817,0.0,_cuc
818,0.0,_cucu
819,6.0540212059362576e-05,_cui
820,0.0,_cui_
821,0.0,_cuid
822,0.0,_cuiq
823,8.143930834266125e-05,_cuiu
824,0.0,_cul
825,0.0,_cult
826,0.0006456177587806271,_cum
827,0.00024577599645312634,_cum_
828,0.0,_cumq
829,0.0,_cun
830,0.0,_cunc
831,0.0,_cup
832,0.0,_cupi
833,0.0,_cupr
834,0.0,_cur
835,0.0,_curc
836,0.0,_curi
837,0.0,_curr
838,0.0,_curs
839,0.0,_curu
840,0.0,_cus
841,0.0,_cust
842,0.0004887944383434259,_d
843,0.0,_da
844,0.0,_dab
845,0.0,_dabi
846,0.0,_dal
847,0.0,_dalm
848,0.0,_dam
849,0.0,_dama
850,0.0,_dami
851,0.0,_damp
852,0.0,_dan
853,3.105490101649845e-05,_dan_
854,0.0,_dat
855,0.0,_data
856,0.0,_dati
857,0.0,_datu
858,0.0,_dau
859,3.562780579355396e-05,_daui
860,0.0002553530536784016,_de
861,0.0003843357028916273,_de_
862,0.0,_de_a
863,3.592614878229931e-05,_de_b
864,0.0,_de_c
865,0.00014932657653522838,_de_d
866,0.0,_de_e
867,0.0,_de_f
868,0.0,_de_g
869,0.0,_de_h
870,7.198155149070441e-05,_de_i
871,0.0,_de_k
872,5.6545994771252305e-05,_de_l
873,0.00025826179685910916,_de_m
874,0.0,_de_n
875,0.0,_de_o
876,7.642992075213093e-05,_de_p
877,6.778190582692652e-05,_de_q
878,9.013719605160772e-05,_de_r
879,0.0,_de_s
880,2.3279717967796793e-05,_de_t
881,0.0,_de_u
882,0.0,_dea
883,0.0,_deam
884,0.0,_deb
885,0.0,_debe
886,0.0,_debi
887,0.0,_dec
888,0.0,_deca
889,0.0,_dece
890,0.0,_deci
891,0.0,_decl
892,7.044997436302412e-05,_deco
893,0.0,_decr
894,0.0,_decu
895,0.0,_ded
896,0.0,_dedi
897,0.0,_dedu
898,0.0,_def
899,0.0,_defe
900,0.0,_defi
901,0.0,_defl
902,0.0,_defu
903,0.0,_dei
904,2.3265976256355306e-05,_dei_
905,0.00017609409526156173,_dein
